"Species";"Table";"Phylum";"Note"
"Balanus crenatus";"Bottom Vegetation";;
"Balanus improvisus";"Bottom Vegetation";;
"Balanus sp.";"Bottom Vegetation";;
"Bangia atropurpurea";"Bottom Vegetation";;
"Bangiophyceae indet.";"Bottom Vegetation";;
"Barentsia gracilis";"Bottom Vegetation";;
"Bathyporeia elegans";"Bottom Vegetation";;
"Bathyporeia guilliamsoniana";"Bottom Vegetation";;
"Bathyporeia pilosa";"Bottom Vegetation";;
"Bathyporeia sarsi";"Bottom Vegetation";;
"Batrachium baudotii";"Bottom Vegetation";;
"Batracium circinatum";"Bottom Vegetation";;
"Beggiatoa alba";"Bottom Vegetation";;
"Beggiatoa sp.";"Bottom Vegetation";;
"Bittium reticulatum";"Bottom Vegetation";;
"Bivalvia indet.";"Bottom Vegetation";;
"Blastophysa rhizopus";"Bottom Vegetation";;
"Blidingia marginata";"Bottom Vegetation";;
"Blidingia minima";"Bottom Vegetation";;
"Blomsterplanter, uspec.";"Bottom Vegetation";;
"Blågrøn";"Bottom Vegetation";;
"Blågrønalger og bakterier";"Bottom Vegetation";;
"Bolbocoleon piliferum";"Bottom Vegetation";;
"Bonnemaisonia / Spermothamnion";"Bottom Vegetation";;
"Bonnemaisonia asparagoides";"Bottom Vegetation";;
"Bonnemaisonia hamifera";"Bottom Vegetation";;
"Botryllus schlosseri";"Bottom Vegetation";;
"Bougainvillia ramosa";"Bottom Vegetation";;
"Bowerbankia imbricata";"Bottom Vegetation";;
"Brongniartella byssoides";"Bottom Vegetation";;
"Brown bush";"Bottom Vegetation";;
"Brown crust";"Bottom Vegetation";;
"Brunskorper sp.";"Bottom Vegetation";;
"Bryopsis corymbosa";"Bottom Vegetation";;
"Bryopsis hypnoides non";"Bottom Vegetation";;
"Bryopsis plumosa";"Bottom Vegetation";;
"Bryopsis sp.";"Bottom Vegetation";;
"Bryozoa";"Bottom Vegetation";;
"Bryozoa indet.";"Bottom Vegetation";;
"Buccinum sp.";"Bottom Vegetation";;
"Buccinum undatum";"Bottom Vegetation";;
"Buccinum undatum (æg)";"Bottom Vegetation";;
"Buskia nitens";"Bottom Vegetation";;
"Calcispongiae";"Bottom Vegetation";;
"Calicella syringa";"Bottom Vegetation";;
"Callionymus sp.";"Bottom Vegetation";;
"Calliopius laeviusculus";"Bottom Vegetation";;
"Calliopius rathkei";"Bottom Vegetation";;
"Callithamniella tingitana";"Bottom Vegetation";;
"Callithamnion bipinnatum";"Bottom Vegetation";;
"Callithamnion brodiaei";"Bottom Vegetation";;
"Callithamnion byssoides";"Bottom Vegetation";;
"Callithamnion corymbosum";"Bottom Vegetation";;
"Callithamnion hookeri";"Bottom Vegetation";;
"Callithamnion sp.";"Bottom Vegetation";;
"Callithamnion tetragonum";"Bottom Vegetation";;
"Callitriche sp.";"Bottom Vegetation";;
"Callocolax neglectus";"Bottom Vegetation";;
"Callophyllis cristata";"Bottom Vegetation";;
"Callophyllis laciniata";"Bottom Vegetation";;
"Callopora aurita";"Bottom Vegetation";;
"Callopora craticula";"Bottom Vegetation";;
"Callopora lineata";"Bottom Vegetation";;
"Calothrix aeruginea";"Bottom Vegetation";;
"Calothrix confervicola";"Bottom Vegetation";;
"Calothrix contarenii";"Bottom Vegetation";;
"Calothrix scopulorum";"Bottom Vegetation";;
"Calothrix sp.";"Bottom Vegetation";;
"Campanularia johnstoni";"Bottom Vegetation";;
"Campanulariidae indet.";"Bottom Vegetation";;
"Campanulina lacerata";"Bottom Vegetation";;
"Cancer pagurus";"Bottom Vegetation";;
"Capitella capitata";"Bottom Vegetation";;
"Capitella sp.";"Bottom Vegetation";;
"Capitomastus minimus";"Bottom Vegetation";;
"Caprella acanthifera";"Bottom Vegetation";;
"Caprella linearis";"Bottom Vegetation";;
"Caprella loveni";"Bottom Vegetation";;
"Caprella microtuberculata";"Bottom Vegetation";;
"Caprella punctata";"Bottom Vegetation";;
"Caprella septentrionalis";"Bottom Vegetation";;
"Caprella sp.";"Bottom Vegetation";;
"Capsosiphon fulvescens";"Bottom Vegetation";;
"Carcinus maenas";"Bottom Vegetation";;
"Cardium edule";"Bottom Vegetation";;
"Cardium ovale";"Bottom Vegetation";;
"Cardium sp.";"Bottom Vegetation";;
"Caridea";"Bottom Vegetation";;
"Celleporella hyalina";"Bottom Vegetation";;
"Cephalothrix rufifrons";"Bottom Vegetation";;
"Ceramium cimbricum";"Bottom Vegetation";;
"Ceramium deslongchampsii";"Bottom Vegetation";;
"Ceramium diaphanum";"Bottom Vegetation";;
"Ceramium diaphanum";"Bottom Vegetation";;"Split ODA entry: 'Ceramium diaphanum/strictum'"
"Ceramium strictum";"Bottom Vegetation";;"Split ODA entry: 'Ceramium diaphanum/strictum'"
"Ceramium nodulosum";"Bottom Vegetation";;
"Ceramium pallidum";"Bottom Vegetation";;
"Ceramium rubriforme";"Bottom Vegetation";;
"Ceramium rubrum";"Bottom Vegetation";;
"Ceramium siliquosum";"Bottom Vegetation";;
"Ceramium sp.";"Bottom Vegetation";;
"Ceramium strictum";"Bottom Vegetation";;
"Ceramium tenue";"Bottom Vegetation";;
"Ceramium tenuicorne";"Bottom Vegetation";;
"Ceramium tenuissimum";"Bottom Vegetation";;
"Ceramium virgatum";"Bottom Vegetation";;
"Cerastoderma edule";"Bottom Vegetation";;
"Cerastoderma glaucum";"Bottom Vegetation";;
"Cerastoderma sp.";"Bottom Vegetation";;
"Ceratocolax hartzii";"Bottom Vegetation";;
"Ceratophyllum demersum";"Bottom Vegetation";;
"Cerianthus lloydi";"Bottom Vegetation";;
"Chaetogammarus marinus";"Bottom Vegetation";;
"Chaetomorpha capillaris";"Bottom Vegetation";;
"Chaetomorpha linum";"Bottom Vegetation";;
"Chaetomorpha melagonium";"Bottom Vegetation";;
"Chaetomorpha sp.";"Bottom Vegetation";;
"Chaetomorpha tortuosa";"Bottom Vegetation";;
"Chaetopteris plumosa";"Bottom Vegetation";;
"Chaetozone sp.";"Bottom Vegetation";;
"Chamaesiphon sp.";"Bottom Vegetation";;
"Chantransia efflorescens";"Bottom Vegetation";;
"Chantransia leptonema";"Bottom Vegetation";;
"Chantransia stricta";"Bottom Vegetation";;
"Chantransia thuretii";"Bottom Vegetation";;
"Chantransia virgatula";"Bottom Vegetation";;
"Chara aspera";"Bottom Vegetation";;
"Chara baltica";"Bottom Vegetation";;
"Chara canescens";"Bottom Vegetation";;
"Chara fragilis";"Bottom Vegetation";;
"Chara sp.";"Bottom Vegetation";;
"Charophyceae";"Bottom Vegetation";;
"Cheirocratus robustus";"Bottom Vegetation";;
"Chironomidae";"Bottom Vegetation";;
"Chlamys sp.";"Bottom Vegetation";;
"Chlorophyceae";"Bottom Vegetation";;
"Chondria dasyphylla";"Bottom Vegetation";;
"Chondrus crispus";"Bottom Vegetation";;
"Chorda filum";"Bottom Vegetation";;
"Chorda tomentosa";"Bottom Vegetation";;
"Chordaria flagelliformis";"Bottom Vegetation";;
"Chromastrum hallandicum";"Bottom Vegetation";;
"Chromastrum humile";"Bottom Vegetation";;
"Chromastrum macula";"Bottom Vegetation";;
"Chromastrum moniliforme";"Bottom Vegetation";;
"Chromastrum virgatulum";"Bottom Vegetation";;
"Chroodactylon ornatum";"Bottom Vegetation";;
"Chylocladia verticillata";"Bottom Vegetation";;
"Cingula semicostata";"Bottom Vegetation";;
"Ciona intestinalis";"Bottom Vegetation";;
"Ciona sp.";"Bottom Vegetation";;
"Cirratulus cirratus";"Bottom Vegetation";;
"Cirripedia";"Bottom Vegetation";;
"Cladophora albida";"Bottom Vegetation";;
"Cladophora dalmatica";"Bottom Vegetation";;
"Cladophora flexuosa";"Bottom Vegetation";;
"Cladophora fracta";"Bottom Vegetation";;
"Cladophora glomerata";"Bottom Vegetation";;
"Cladophora hamosa";"Bottom Vegetation";;
"Cladophora hutchinsiae";"Bottom Vegetation";;
"Cladophora laetevirens";"Bottom Vegetation";;
"Cladophora pygmaea";"Bottom Vegetation";;
"Cladophora rupestris";"Bottom Vegetation";;
"Cladophora sericea";"Bottom Vegetation";;
"Cladophora sericea s.l.";"Bottom Vegetation";;
"Cladophora sp.";"Bottom Vegetation";;
"Cladosiphon zosterae";"Bottom Vegetation";;
"Cladostephus spongiosus";"Bottom Vegetation";;
"Clava multicornis";"Bottom Vegetation";;
"Clava sp.";"Bottom Vegetation";;
"Clava squamata";"Bottom Vegetation";;
"Clavelina lepadiformis";"Bottom Vegetation";;
"Clytia gracilis";"Bottom Vegetation";;
"Clytia johnstoni";"Bottom Vegetation";;
"Clytia sp.";"Bottom Vegetation";;
"Cnidaria";"Bottom Vegetation";;
"Coccotylus / Phyllophora";"Bottom Vegetation";;
"Coccotylus truncatus s.l.";"Bottom Vegetation";;
"Codiolum stage";"Bottom Vegetation";;
"Codium fragile";"Bottom Vegetation";;
"Codium tomentosum";"Bottom Vegetation";;
"Colaconema daviesii";"Bottom Vegetation";;
"Colaconema gynandrum";"Bottom Vegetation";;
"Colaconema nemalionis";"Bottom Vegetation";;
"Colaconema savianum";"Bottom Vegetation";;
"Colaconema sp.";"Bottom Vegetation";;
"Colaconema strictum";"Bottom Vegetation";;
"Colpomenia peregrina";"Bottom Vegetation";;
"Compsothamnion gracillimum";"Bottom Vegetation";;
"Compsothamnion thuyoides";"Bottom Vegetation";;
"Conchocelis phase";"Bottom Vegetation";;
"Conchocelis rosea";"Bottom Vegetation";;
"Copepoda";"Bottom Vegetation";;
"Corallina elegans";"Bottom Vegetation";;
"Corallina officinalis";"Bottom Vegetation";;
"Corbula gibba";"Bottom Vegetation";;
"Corophium bonelli";"Bottom Vegetation";;
"Corophium crassicorne";"Bottom Vegetation";;
"Corophium insidiosum";"Bottom Vegetation";;
"Corophium insidiosum";"Bottom Vegetation";;"Split ODA entry: 'Corophium insidiosum/bonelli'"
"Corophium bonelli";"Bottom Vegetation";;"Split ODA entry: 'Corophium insidiosum/bonelli'"
"Corophium lacustre";"Bottom Vegetation";;
"Corophium volutator";"Bottom Vegetation";;
"Coryphopterus sp.";"Bottom Vegetation";;
"Cottidae sp.";"Bottom Vegetation";;
"Crangon crangon";"Bottom Vegetation";;
"Crangonidae";"Bottom Vegetation";;
"Crassostrea gigas";"Bottom Vegetation";;
"Crepidula fornicata";"Bottom Vegetation";;
"Cribrilina punctata";"Bottom Vegetation";;
"Crisia eburnea";"Bottom Vegetation";;
