"Species";"Table";"Phylum";"Note"
"Ceratium tripos";"Phytoplankton";"";""
"Ceratium tripos f. truncata";"Phytoplankton";"";""
"Chaetoceros borealis";"Phytoplankton";"";""
"Chaetoceros eibenii";"Phytoplankton";"";""
"Chaetoceros gracilis";"Phytoplankton";"";""
"Chaetoceros sp. solitære";"Phytoplankton";"";""
"Chaetoceros, phaeoceros-group";"Phytoplankton";"";""
"Chatonella sp.";"Phytoplankton";"";""
"Chlamydomonas sp.";"Phytoplankton";"";""
"Chlorella sp.";"Phytoplankton";"";""
"Chlorella vulgaris";"Phytoplankton";"";""
"Chlorothrix spp.";"Phytoplankton";"";""
"Chrysochromulina parva";"Phytoplankton";"";""
"Chrysococcus sp.";"Phytoplankton";"";""
"Ciliater (fra fytoplanktonundersøgelser)";"Phytoplankton";"";""
"Closterium acutum v. variabile";"Phytoplankton";"";""
"Closterium spp.";"Phytoplankton";"";""
"Cochlodinium brandti";"Phytoplankton";"";""
"Coelastrum sp.";"Phytoplankton";"";""
"Coelomoron pusillum";"Phytoplankton";"";""
"Coscinodiscus radiatus";"Phytoplankton";"";""
"Craspedophyceae";"Phytoplankton";"";""
"Cyanodictyon spp.";"Phytoplankton";"";""
"Cyanonephron styloides";"Phytoplankton";"";""
"Cyclotella striata";"Phytoplankton";"";""
"Dactylisolen sp.";"Phytoplankton";"";""
"Diatoma elongata";"Phytoplankton";"";""
"Diatoma tenuis";"Phytoplankton";"";""
"Diatoma vulgaris";"Phytoplankton";"";""
"Diatomophyceae";"Phytoplankton";"";""
"Dictyocha sp.";"Phytoplankton";"";""
"Dictyosphaerium sp.";"Phytoplankton";"";""
"Didinium spp.";"Phytoplankton";"";""
"Dinobryon acuminatum";"Phytoplankton";"";""
"Dinobryon cysts";"Phytoplankton";"";""
"Dinobryon sp.";"Phytoplankton";"";""
"Dinophyceae, athekate";"Phytoplankton";"";""
"Dinophyceae, cysts";"Phytoplankton";"";""
"Dinophyceae, thekate";"Phytoplankton";"";""
"Dinophysis baltica";"Phytoplankton";"";""
"Dinophysis ovum";"Phytoplankton";"";""
"Dinophysis rotundata";"Phytoplankton";"";""
"Diplopsalis group";"Phytoplankton";"";""
"Diplopsalis lenticula";"Phytoplankton";"";""
"Diplopsalis  sp.";"Phytoplankton";"";"Split ODA entry: 'Diplopsalis/Zygabikodinium sp.'"
"Diverse (fra fytoplanktonundersøgelser)";"Phytoplankton";"";""
"Elakatothrix sp.";"Phytoplankton";"";""
"Entemoneis alata";"Phytoplankton";"";""
"Entemoneis sp.";"Phytoplankton";"";""
"Eupodiscales";"Phytoplankton";"";""
"Eutintinnus spp.";"Phytoplankton";"";""
"Eutreptia sp.";"Phytoplankton";"";""
"Eutreptia  sp.";"Phytoplankton";"";"Split ODA entry: 'Eutreptia/Eutreptiella sp.'"
"Favella sp.";"Phytoplankton";"";""
"Flagellate sp.";"Phytoplankton";"";""
"Flagellate x";"Phytoplankton";"";""
"Fragilaria ulna";"Phytoplankton";"";""
"Gonyaulax diacantha";"Phytoplankton";"";""
"Gonyaulax spinifera";"Phytoplankton";"";""
"Gymnodinium vestificii";"Phytoplankton";"";""
"Gymnodinium  sp.";"Phytoplankton";"";"Split ODA entry: 'Gymnodinium/Gyrodinium sp.'"
"Gyrodinium calyptroglyphe";"Phytoplankton";"";""
"Gyrosigma acuminatum";"Phytoplankton";"";""
"Helicostomella spp.";"Phytoplankton";"";""
"Heterosigma akachivo";"Phytoplankton";"";""
"Kephyrion spirale";"Phytoplankton";"";""
"Kirchneriella sp.";"Phytoplankton";"";""
"Koliella sp.";"Phytoplankton";"";""
"Lemmermaniella spp.";"Phytoplankton";"";""
"Lemmermanniella pallida";"Phytoplankton";"";""
"Limnothrix redekei";"Phytoplankton";"";""
"Lobocystis planctonica";"Phytoplankton";"";""
"Lohmaniella oviformis";"Phytoplankton";"";""
"Lohmaniella sp.";"Phytoplankton";"";""
"Lohmaniella spiralis";"Phytoplankton";"";""
"Melosira arctica";"Phytoplankton";"";""
"Melosira varians";"Phytoplankton";"";""
"Meridion circulare";"Phytoplankton";"";""
"Mesodinium velox";"Phytoplankton";"";""
"Microcystis viridis";"Phytoplankton";"";""
"Microcystis wesenbergii";"Phytoplankton";"";""
"Microcystis  sp.";"Phytoplankton";"";"Split ODA entry: 'Microcystis/Aphanothece sp.'"
"Minutocellus spp.";"Phytoplankton";"";""
"Monader";"Phytoplankton";"";""
"Monoraphidium contortum";"Phytoplankton";"";""
"Monoraphidium spp.";"Phytoplankton";"";""
"Monoraphidium tortile";"Phytoplankton";"";""
"Nanoflagellates, unidentified";"Phytoplankton";"";""
"Nanoplankton, unidentified";"Phytoplankton";"";""
"Nitzschia closterium";"Phytoplankton";"";"Split ODA entry: 'Nitzschia acicularis/closterium'"
"Nitzschia actinastroides";"Phytoplankton";"";""
"Nitzschia closterium";"Phytoplankton";"";""
"Nitzschia closterium";"Phytoplankton";"";"Split ODA entry: 'Nitzschia closterium/longissima'"
"Nitzschia delicatissima group";"Phytoplankton";"";""
"Nitzschia seriata-group";"Phytoplankton";"";""
"Nitzschia sigmoidea";"Phytoplankton";"";""
"Nitzschia sp.";"Phytoplankton";"";""
"Nitzschia subcohaerens";"Phytoplankton";"";""
"Nodularia spumigena";"Phytoplankton";"";""
"Nostocophyceae";"Phytoplankton";"";""
"Ochromonas cosmopolitia";"Phytoplankton";"";""
"Ochromonas sp.";"Phytoplankton";"";""
"Oocystis sp.";"Phytoplankton";"";""
"Oscillatoria limnetica";"Phytoplankton";"";""
"Pachysphaera sp.";"Phytoplankton";"";""
"Pachysphaera  sp.";"Phytoplankton";"";"Split ODA entry: 'Pachysphaera/Pterosperma sp.'"
"Parafavella spp.";"Phytoplankton";"";""
"Pediastrum boryanum";"Phytoplankton";"";""
"Pediastrum kawraiskyi";"Phytoplankton";"";""
"Pediastrum sp.";"Phytoplankton";"";""
"Phacus longicauda";"Phytoplankton";"";""
"Picoplankton, unidentified";"Phytoplankton";"";""
"Planktolyngbya limnetica";"Phytoplankton";"";""
"Planktonema lauterbornii";"Phytoplankton";"";""
"Planktonema sp.";"Phytoplankton";"";""
"Planktothrix agardhii";"Phytoplankton";"";""
"Polykrikos schwartzii";"Phytoplankton";"";""
"Protoperidinium achromaticum";"Phytoplankton";"";""
"Protoperidinium conicum-group";"Phytoplankton";"";""
"Prymnesium sp.";"Phytoplankton";"";""
"Pseudanabaena limnetica";"Phytoplankton";"";""
"Pseudomystides southerni";"Phytoplankton";"";""
"Pseudonitzschia delicatissima";"Phytoplankton";"";""
"Pseudonitzschia pungens";"Phytoplankton";"";""
"Pseudonitzschia pungens";"Phytoplankton";"";"Split ODA entry: 'Pseudonitzschia pungens/seriata'"
"Pseudonitzschia seriata";"Phytoplankton";"";"Split ODA entry: 'Pseudonitzschia pungens/seriata'"
"Pseudonitzschia seriata";"Phytoplankton";"";""
"Pseudonitzschia, delicatissima group";"Phytoplankton";"";""
"Pseudonitzschia, seriata group";"Phytoplankton";"";""
"Pseudopedinella pyriformis";"Phytoplankton";"";""
"Pseudopedinella sp.";"Phytoplankton";"";""
"Pseudopedinella tricostata";"Phytoplankton";"";""
"Pseudoperanema trichophorum";"Phytoplankton";"";""
"Pteromonas spp.";"Phytoplankton";"";""
"Pyramimonas  sp.";"Phytoplankton";"";"Split ODA entry: 'Pyramimonas/Tetraselmis sp.'"
"Quadricoccus ellipticus";"Phytoplankton";"";""
"Rhaphoneis suriella";"Phytoplankton";"";""
"Rhizosolenia imbricata f. scrubsolei";"Phytoplankton";"";""
"Rhoicosphenia curvata";"Phytoplankton";"";""
"Salpingella spp.";"Phytoplankton";"";""
"Scenedesmus acuminatus";"Phytoplankton";"";""
"Scenedesmus opoliensis-group";"Phytoplankton";"";""
"Scenedesmus quadricauda";"Phytoplankton";"";""
"Schroederella  sp.";"Phytoplankton";"";"Split ODA entry: 'Schroederella/Lauderia sp.'"
"Scrippsiella group";"Phytoplankton";"";""
"Scutico ciliates";"Phytoplankton";"";""
"Snowella lacustris";"Phytoplankton";"";""
"Snowella litoralis <celle>";"Phytoplankton";"";""
"Snowella septentrionales";"Phytoplankton";"";""
"Snowella spp.";"Phytoplankton";"";""
"Spirulina subsalsa";"Phytoplankton";"";""
"Staurastrum sp.";"Phytoplankton";"";""
"Stauroneis membranaceae";"Phytoplankton";"";""
"Stenosomella spp.";"Phytoplankton";"";""
"Stichococcus minutissimus";"Phytoplankton";"";""
"Stichococcus spp.";"Phytoplankton";"";""
"Strobilidium sp.";"Phytoplankton";"";""
"Strombidinopsis spp.";"Phytoplankton";"";""
"Strombidium coronata";"Phytoplankton";"";""
"Strombidium delicatissima";"Phytoplankton";"";""
"Strombidium reticulata";"Phytoplankton";"";""
"Synchaeta spp.";"Phytoplankton";"";""
"Synechococcus sp.";"Phytoplankton";"";""
"Synedra actinastroides";"Phytoplankton";"";""
"Synedra acus";"Phytoplankton";"";""
"Synedra berolinensis";"Phytoplankton";"";""
"Synedra ulna";"Phytoplankton";"";""
"Tetraedron sp.";"Phytoplankton";"";""
"Thalassionema nitzschioides";"Phytoplankton";"";""
"Thalassiosira decipiens";"Phytoplankton";"";""
"Thalassiosira lacustris";"Phytoplankton";"";""
"Tintinnopsis fluviatile";"Phytoplankton";"";""
"Tontonia spp.";"Phytoplankton";"";""
"Trachelomonas spp.";"Phytoplankton";"";""
"Ultrananoplankton, unidentified";"Phytoplankton";"";""
"Unidentified";"Phytoplankton";"";""
"Unidentified flagellates";"Phytoplankton";"";""
"Unidentified flagellates, cysts";"Phytoplankton";"";""
"Unidentifred ciliates";"Phytoplankton";"";""
"Unidentifred oligotrich ciliates";"Phytoplankton";"";""
"Unidentifred tintinnids";"Phytoplankton";"";""
"Uronema spp.";"Phytoplankton";"";""
"Urotrichia spp.";"Phytoplankton";"";""
"Vorticella spp.";"Phytoplankton";"";""
"Woronichinia compacta";"Phytoplankton";"";"Split ODA entry: 'Woronichinia compacta/Coelomoron pusillu'"
"Coelomoron pusillu";"Phytoplankton";"";"Split ODA entry: 'Woronichinia compacta/Coelomoron pusillu'"
"Woronichinia naegeliana";"Phytoplankton";"";""
"Woronichinia  sp.";"Phytoplankton";"";"Split ODA entry: 'Woronichinia/Gomphosphaeria sp.'"
"Acartia spp.";"Zooplankton";"";""
"Apoda";"Zooplankton";"";""
"Ascidiacea indet.";"Zooplankton";"";""
"Asterias rubens";"Zooplankton";"";""
"Asteroidea bipinnaria";"Zooplankton";"";""
"Asteroidea brachiolaria";"Zooplankton";"";""
"Balanus cypris";"Zooplankton";"";""
"Bivalvia indet.";"Zooplankton";"";""
"Bosmina coregoni maritima";"Zooplankton";"";""
"Bosmina longirostris";"Zooplankton";"";""
"Brachionus angularis";"Zooplankton";"";""
"Brachionus quadridentatus";"Zooplankton";"";""
"Brachionus urceolaris";"Zooplankton";"";""
"Calanoide nauplier";"Zooplankton";"";""
"Calanus spp.";"Zooplankton";"";""
"Caligus spp.";"Zooplankton";"";""
"Centropages spp.";"Zooplankton";"";""
"Cladocera eggs";"Zooplankton";"";""
"Copecod nauplier";"Zooplankton";"";""
"Copepod eggs";"Zooplankton";"";""
"Crangon allmani";"Zooplankton";"";""
"Ctenophora";"Zooplankton";"";""
"Cyclopod eggs";"Zooplankton";"";""
"Cyclopoide nauplier";"Zooplankton";"";""
"Cyclops spp.";"Zooplankton";"";""
"Daphnia sp.";"Zooplankton";"";""
"Decapoda indet.";"Zooplankton";"";""
"Didinium spp.";"Zooplankton";"";""
"Ephyra indet";"Zooplankton";"";""
"Epiphanes sp.";"Zooplankton";"";""
"Euchlanis dilatata";"Zooplankton";"";""
"Euphausiacea indet.";"Zooplankton";"";""
"Eurytemora spp.";"Zooplankton";"";""
"Evadne spp.";"Zooplankton";"";""
"Filinia longiseta";"Zooplankton";"";""
"Gastropoda indet.";"Zooplankton";"";""
"Gobiidae indet.";"Zooplankton";"";""
"Gobius spp.";"Zooplankton";"";""
"Halacarida spp.";"Zooplankton";"";""
"Harpaticoid eggs";"Zooplankton";"";""
"Harpaticoide nauplier";"Zooplankton";"";""
"Hydracarina";"Zooplankton";"";""
"Kellicottia longispina";"Zooplankton";"";""
"Keratella cochlearis";"Zooplankton";"";""
"Keratella quadrata";"Zooplankton";"";""
"Mesocyclops leuckarti";"Zooplankton";"";""
"Metridia spp.";"Zooplankton";"";""
"Nauplie";"Zooplankton";"";""
"Nematocera";"Zooplankton";"";""
"Notholca acuminata";"Zooplankton";"";""
"Obelia sp.";"Zooplankton";"";""
"Oikopleura dioica";"Zooplankton";"";""
"Oikopleura spp.";"Zooplankton";"";""
"Oithona spp.";"Zooplankton";"";""
"Oncaea spp.";"Zooplankton";"";""
"Ophiuroidea indet.";"Zooplankton";"";""
"Parasitisk copepod indet.";"Zooplankton";"";""
"Pectinaria sp.";"Zooplankton";"";""
"Philine aperta";"Zooplankton";"";""
"Pisces indet.";"Zooplankton";"";""
"Polyarthra dolichoptera";"Zooplankton";"";""
"Polychaeta indet.";"Zooplankton";"";""
"Polynoidae indet.";"Zooplankton";"";""
"Pompholyx sulcata";"Zooplankton";"";""
"Proceraea spp.";"Zooplankton";"";""
"Rotifera eggs";"Zooplankton";"";""
"Rotifera indet";"Zooplankton";"";""
"Sagitta spp.";"Zooplankton";"";""
"Spio sp.";"Zooplankton";"";""
"Synchaeta spp.";"Zooplankton";"";""
"Tardigrada indet";"Zooplankton";"";""
"Thaumaleus thompsoni";"Zooplankton";"";""
"Tomoptoris septentrionalis";"Zooplankton";"";""
"Unidentified";"Zooplankton";"";""
"Unidentifred ciliates";"Zooplankton";"";""
