"SpeciesOriginal";"Species";"Status";"cryptogenic";"data-deficient";"non-indigenous"
"Cladosiphon zosterae (J.Agardh) Kylin, 1940";"Cladosiphon zosterae";"non-indigenous";;;"FR,IT"
"Clavelina dellavallei (Zirpolo, 1825)";"Clavelina dellavallei";"non-indigenous";;;"PT"
"Clavelina lepadiformis (Müller, 1776)";"Clavelina lepadiformis";"non-indigenous";;;"PT,ES"
"Clavelina oblonga Herdman, 1880";"Clavelina oblonga";"non-indigenous";;;"IT,PT,ES"
"Clementia papyracea (Gmelin, 1791)";"Clementia papyracea";"non-indigenous";;;"EL"
"Clymenella torquata (Leidy, 1855)";"Clymenella torquata";"non-indigenous";;;"FR,IE,UK"
"Clytia hummelincki (Leloup, 1935)";"Clytia hummelincki";"non-indigenous";;;"HR,IT,ES"
"Clytia linearis (Thorneley, 1900)";"Clytia linearis";"non-indigenous";;;"FR,EL,IT,ES"
"Cocconeis britannica Naegeli ex Kützing, 1849";"Cocconeis britannica";"non-indigenous";;;"UK"
"Codium arabicum Kützing, 1856";"Codium arabicum";"non-indigenous";;;"PT"
"Codium fragile (Suringar) Hariot";"Codium fragile";"non-indigenous";;;"HR,DE,IE"
"Codium fragile (Suringar) Hariot, 1889";"Codium fragile";"non-indigenous";;;"DK,EL,IT,NL,ES,UK"
"Codium fragile subsp. atlanticum (A.D.Cotton) P.C.Silva, 1955";"Codium fragile subsp. atlanticum";"non-indigenous";;;"UK"
"Codium fragile subsp. fragile (Suringar) Hariot, 1889";"Codium fragile subsp. fragile";"non-indigenous";;;"BE,FR,PT,SI,SE"
"Colaconema codicola (Børgesen) H.Stegenga, J.J.Bolton & R.J.Anderson, 1997";"Colaconema codicola";"non-indigenous";;;"FR,IT,ES"
"Colaconema dasyae (F.S.Collins) Stegenga, I.Mol, Prud'homme van Reine & Lokhorst, 1997";"Colaconema dasyae";"non-indigenous";;;"NL"
"Coleusia signata (Paul'son, 1875)";"Coleusia signata";"non-indigenous";;;"EL"
"Colpomenia peregrina Sauvageau";"Colpomenia peregrina";"data-deficient/non-indigenous";;"DE";"HR,FR,EL,IE,IT,MT,NL,ES,SE,UK"
"Colpomenia peregrina Sauvageau 1927";"Colpomenia peregrina";"non-indigenous";;;"PT"
"Conomurex persicus (Swainson, 1821)";"Conomurex persicus";"non-indigenous";;;"CY,EL"
"Coolia monotis Meunier, 1919";"Coolia monotis";"cryptogenic";"EL";;
"Coplomenia peregrina Sauvageau";"Coplomenia peregrina";"non-indigenous";;;"DK"
"Corambe obscura (A. E. Verrill, 1870)";"Corambe obscura";"non-indigenous";;;"BG,FR,NL,RO"
"Corbicula fluminea (O. F. Müller, 1774)";"Corbicula fluminea";"non-indigenous";;;"NL,PT"
"Cordylophora caspia (Pallas, 1771)";"Cordylophora caspia";"data-deficient";;"BE,DK,EE,FI,FR,DE,IE,LV,LT,NL,PL,PT,SE";
"Coregonus peled (Gmelin, 1789)";"Coregonus peled";"non-indigenous";;;"EE"
"Corella eumyota Traustedt, 1882";"Corella eumyota";"non-indigenous";;;"FR,IE,NL,PT,ES,UK"
"Corymbellus aureus J.C.Green, 1976";"Corymbellus aureus";"non-indigenous";;;"DK"
"Corymorpha annulata (Kramp, 1928)";"Corymorpha annulata";"data-deficient";;"HR";
"Coryne eximia Allman, 1859";"Coryne eximia";"cryptogenic";"FR,IE,IT,UK";;
"Coryne pintneri Schneider, 1897";"Coryne pintneri";"non-indigenous";;;"UK"
"Corynomorpha prismatica (J.Agardh) J.Agardh, 1876";"Corynomorpha prismatica";"non-indigenous";;;"PT"
"Corynophlaea umbellata (C.Agardh) Kützing, 1843";"Corynophlaea umbellata";"cryptogenic";"UK";;
"Corynophlaea verruculiformis (Y.-P.Lee & I.K.Lee) Y.-P.Lee, 2008";"Corynophlaea verruculiformis";"non-indigenous";;;"NL"
"Coryphellina rubrolineata O'Donoghue, 1929";"Coryphellina rubrolineata";"non-indigenous";;;"CY,EL"
"Coscinodiscus wailesii Gran & Angst, 1931";"Coscinodiscus wailesii";"cryptogenic";"BE,DK,FR,DE,IE,NL,SE,UK";;
"Coscinospira hemprichii Ehrenberg, 1839";"Coscinospira hemprichii";"non-indigenous";;;"HR,FR,EL,ES"
"Cossura coasta Kitamori, 1960";"Cossura coasta";"cryptogenic";"EL";;
"Cradoscrupocellaria bertholletii (Audouin, 1826)";"Cradoscrupocellaria bertholletii";"non-indigenous";;;"PT"
"Crambe crambe (Schmidt, 1862)";"Crambe crambe";"non-indigenous";;;"PT,ES"
"Crassostrea rhizophorae (Guilding, 1828)";"Crassostrea rhizophorae";"non-indigenous";;;"FR"
"Crassostrea virginica (Gmelin, 1791)";"Crassostrea virginica";"non-indigenous";;;"DK,FR,DE,IE,RO,SE,UK"
"Crepidacantha poissonii (Audouin, 1826)";"Crepidacantha poissonii";"non-indigenous";;;"EL,IT"
"Crepidula fornicata (Linnaeus, 1758)";"Crepidula fornicata";"non-indigenous";;;"BE,DK,FR,DE,EL,IE,IT,MT,NL,ES,SE,UK"
"Crepipatella dilatata (Lamarck, 1822)";"Crepipatella dilatata";"non-indigenous";;;"ES"
"Crisularia serrata (Lamarck, 1816)";"Crisularia serrata";"non-indigenous";;;"FR,EL,IT"
"Critomolgus actiniae (Della Valle, 1880) ";"Critomolgus actiniae";"cryptogenic";"IE";;
"Cryptonemia hibernica Guiry & L.M.Irvine, 1974";"Cryptonemia hibernica";"non-indigenous";;;"UK"
"Cryptosoma cristatum Brullé, 1837";"Cryptosoma cristatum";"non-indigenous";;;"ES"
"Cushmanina striatopunctata (Parker & Jones, 1865)";"Cushmanina striatopunctata";"non-indigenous";;;"HR"
"Cuthona perca (Er. Marcus, 1958)";"Cuthona perca";"non-indigenous";;;"IT"
"Cutleria multifida (Turner) Greville";"Cutleria multifida";"non-indigenous";;;"FR,IT"
"Cutleria multifida (Turner) Greville, 1830";"Cutleria multifida";"non-indigenous";;;"EL"
"Cyclopinella multispinosa (Jaume & Boxshall, 1996)";"Cyclopinella multispinosa";"cryptogenic";"IE";;
"Cyclopterus lumpus Linnaeus, 1758";"Cyclopterus lumpus";"non-indigenous";;;"HR"
"Cycloscala hyalina (G. B. Sowerby II, 1844)";"Cycloscala hyalina";"non-indigenous";;;"CY"
"Cymadusa filosa Savigny, 1816";"Cymadusa filosa";"cryptogenic";"MT";;
"Cymbaloporetta plana (Cushman, 1924)";"Cymbaloporetta plana";"cryptogenic";"EL";;
"Cynoscion regalis (Bloch & Schneider, 1801)";"Cynoscion regalis";"non-indigenous";;;"BE"
"Cyprinus carpio Linnaeus, 1758";"Cyprinus carpio";"non-indigenous";;;"EE,FI,LV,LT,PL,SE"
"Cystodytes dellechiajei (Della Valle, 1877)";"Cystodytes dellechiajei";"cryptogenic";"ES";;
"Cystodytes philippinensis Herdman, 1886";"Cystodytes philippinensis";"cryptogenic";"ES";;
"Dasya baillouviana (S.G.Gmelin) Montagne, 1841";"Dasya baillouviana";"non-indigenous";;;"DK,DE,NL,ES,SE"
"Dasya sessilis Yamada, 1928";"Dasya sessilis";"non-indigenous";;;"FR,NL,PT,ES"
"Dasysiphonia japonica (Yendo) H.-S.Kim, 2012";"Dasysiphonia japonica";"non-indigenous";;;"DK,FR,IE,IT,NL,ES,SE,UK"
"Dendostrea folium (Linnaeus, 1758)";"Dendostrea folium";"non-indigenous";;;"CY,EL,IE"
"Derbesia rhizophora Yamada, 1961";"Derbesia rhizophora";"non-indigenous";;;"FR"
"Desdemona ornata Banse, 1957";"Desdemona ornata";"non-indigenous";;;"EL,IT,PT,ES,UK"
"Desmacella meliorata Wiedenmayer, 1977";"Desmacella meliorata";"non-indigenous";;;"PT"
"Desmarestia viridis (O.F.Müller) J.V.Lamouroux, 1813";"Desmarestia viridis";"cryptogenic/non-indigenous";"DE";;"BG,FR,RO,ES"
"Diadema setosum (Leske, 1778)";"Diadema setosum";"non-indigenous";;;"EL"
"Diadumene cincta Stephenson, 1925";"Diadumene cincta";"cryptogenic/non-indigenous";"FR,DE,NL,UK";;"IT"
"Diadumene lineata (Verrill, 1869)";"Diadumene lineata";"non-indigenous";;;"BE,BG,FR,DE,IE,IT,NL,RO,ES,UK"
"Diamysis lagunaris Ariani & Wittmann, 2000";"Diamysis lagunaris";"non-indigenous";;;"PT"
"Dicroerisma psilonereiella F.J.R.Taylor & S.A.Cattell, 1969";"Dicroerisma psilonereiella";"cryptogenic";"SE";;
"Dictyota cyanoloma Tronholm, De Clerck, A.Gómez-Garreta & Rull Lluch in Tronholm et al.";"Dictyota cyanoloma";"non-indigenous";;;"HR,FR"
"Dictyota cyanoloma Tronholm, De Clerck, Gomez Garreta & Rull Lluch, 2010";"Dictyota cyanoloma";"non-indigenous";;;"ES"
"Dictyota dichotoma (Hudson) J.V.Lamouroux";"Dictyota dichotoma";"cryptogenic";"DK";;
"Didemnum vexillum Kott, 2002";"Didemnum vexillum";"non-indigenous";;;"FR,IE,IT,NL,ES,UK"
"Dinophysis sacculus Stein, 1883";"Dinophysis sacculus";"non-indigenous";;;"DK"
"Diopatra hupferiana hupferiana (Augener, 1918)";"Diopatra hupferiana hupferiana";"non-indigenous";;;"IT"
"Diopatra hupferiana monroi (Day, 1957)";"Diopatra hupferiana monroi";"non-indigenous";;;"IT"
"Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817)";"Diplodus vulgaris";"non-indigenous";;;"PT"
"Diplosoma listerianum (Milne Edwards, 1841)";"Diplosoma listerianum";"cryptogenic/non-indigenous";"BE,FR,DE,IE,NL,UK";;"EL,ES"
"Dipolydora blakei (Maciolek, 1984)";"Dipolydora blakei";"cryptogenic";"EL";;
"Dipolydora quadrilobata (Jacobi, 1883)";"Dipolydora quadrilobata";"cryptogenic";"BG,RO,UK";;
"Dipolydora tentaculata (Blake & Kudenov, 1978)";"Dipolydora tentaculata";"non-indigenous";;;"ES"
"Dispio magna (Day, 1955)";"Dispio magna";"non-indigenous";;;"EL"
"Dispio uncinata Hartman, 1951";"Dispio uncinata";"data-deficient/non-indigenous";;"IT";"ES"
"Distaplia bermudensis Van Name, 1902";"Distaplia bermudensis";"non-indigenous";;;"IT,ES"
"Distaplia corolla Monniot F., 1974";"Distaplia corolla";"non-indigenous";;;"PT"
"Dodecaceria capensis Day, 1961";"Dodecaceria capensis";"non-indigenous";;;"EL"
"Dosima fascicularis (Ellis & Solander, 1786)";"Dosima fascicularis";"cryptogenic";"MT";;
"Dreissena polymorpha (Pallas, 1771)";"Dreissena polymorpha";"non-indigenous";;;"EE,FI,DE,LV,LT,SE"
"Dussumieria elopsoides Bleeker, 1849";"Dussumieria elopsoides";"non-indigenous";;;"CY"
"Dyspanopeus sayi (Smith, 1869)";"Dyspanopeus sayi";"data-deficient/non-indigenous";;"ES";"FR,IT,RO,UK"
"Ecteinascidia styeloides (Traustedt, 1882)";"Ecteinascidia styeloides";"non-indigenous";;;"FR"
"Ecteinascidia turbinata Herdman, 1880";"Ecteinascidia turbinata";"cryptogenic";"EL,MT,ES";;
"Ectopleura crocea (Agassiz, 1862)";"Ectopleura crocea";"non-indigenous";;;"PT"
"Edwardsia claparedii (Panceri, 1869)";"Edwardsia claparedii";"cryptogenic";"NL";;
"Edwardsiella lineata (Verrill in Baird, 1873)";"Edwardsiella lineata";"non-indigenous";;;"SE"
"Elates ransonnettii (Steindachner, 1876)";"Elates ransonnettii";"non-indigenous";;;"HR,IT"
"Electra pilosa (Linnaeus, 1767)";"Electra pilosa";"non-indigenous";;;"ES"
"Elodea canadensis Michx.";"Elodea canadensis";"non-indigenous";;;"EE,FI,PL,SE"
"Elodea nuttallii (Planch.) H.St.John";"Elodea nuttallii";"non-indigenous";;;"SE"
"Elphidium striatopunctatum (Fichtel & Moll, 1798)";"Elphidium striatopunctatum";"non-indigenous";;;"HR"
"Emiliania huxleyi (Lohmann) W.W.Hay & H.P.Mohler, 1967";"Emiliania huxleyi";"non-indigenous";;;"DK"
"Ensis leei M. Huber, 2015";"Ensis leei";"non-indigenous";;;"BE,DK,FR,DE,NL,ES,SE,UK"
"Eocuma dimorphum Fage, 1928";"Eocuma dimorphum";"non-indigenous";;;"ES"
"Eocuma sarsii (Kossmann), 1880";"Eocuma sarsii";"non-indigenous";;;"FR"
"Epinephelus coioides (Hamilton, 1822)";"Epinephelus coioides";"non-indigenous";;;"IT"
"Epinephelus malabaricus (Bloch & Schneider, 1801)";"Epinephelus malabaricus";"non-indigenous";;;"MT"
"Epinephelus merra Bloch, 1793";"Epinephelus merra";"non-indigenous";;;"FR"
"Equulites klunzingeri (Steindachner, 1898)";"Equulites klunzingeri";"data-deficient/non-indigenous";;"IT";"HR,CY,EL"
"Ergalatax junionae Houart, 2008";"Ergalatax junionae";"non-indigenous";;;"CY,EL"
"Erinaceusyllis serratosetosa (Hartmann-Schröder, 1982)";"Erinaceusyllis serratosetosa";"non-indigenous";;;"IT,ES"
"Eriocheir sinensis H. Milne Edwards, 1853";"Eriocheir sinensis";"non-indigenous";;;"BE,DK,EE,FI,FR,DE,IE,IT,LV,LT,NL,PL,PT,RO,ES,SE,UK"
"Erugosquilla massavensis (Kossmann, 1880)";"Erugosquilla massavensis";"non-indigenous";;;"CY,EL"
"Escharina vulgaris (Moll, 1803)";"Escharina vulgaris";"non-indigenous";;;"ES,SE"
"Ethmodiscus punctiger Castracane, 1886";"Ethmodiscus punctiger";"non-indigenous";;;"BE,DK,DE,NL,SE,UK"
"Etrumeus golanii DiBattista, Randall & Bowen, 2012";"Etrumeus golanii";"data-deficient/non-indigenous";;"MT";"CY,EL,IT"
"Eucheilota menoni Kramp, 1959";"Eucheilota menoni";"non-indigenous";;;"ES"
"Eucheilota paradoxica Mayer, 1900";"Eucheilota paradoxica";"cryptogenic";"HR,FR,IT,ES";;
"Eucidaris tribuloides (Lamarck, 1816)";"Eucidaris tribuloides";"non-indigenous";;;"MT"
"Eudendrium capillare Alder, 1856";"Eudendrium capillare";"cryptogenic";"UK";;
"Eudendrium carneum Clarke, 1882";"Eudendrium carneum";"non-indigenous";;;"HR,FR,IT,ES"
"Eudendrium merulum Watson, 1985";"Eudendrium merulum";"non-indigenous";;;"HR,FR,IT"
"Euplana gracilis Girard, 1853";"Euplana gracilis";"non-indigenous";;;"NL"
"Euplokamis dunlapae Mills, 1987";"Euplokamis dunlapae";"non-indigenous";;;"SE"
"Eupyxidicula turris (Greville) S.Blanco & C.E.Wetzel";"Eupyxidicula turris";"non-indigenous";;;"DK"
"Eurypanopeus depressus (Smith, 1869)";"Eurypanopeus depressus";"non-indigenous";;;"RO"
"Eurytemora americana Williams, 1906";"Eurytemora americana";"non-indigenous";;;"BE,NL"
"Eurythoe complanata (Pallas, 1766)";"Eurythoe complanata";"data-deficient/non-indigenous";;"IT";"EL,ES"
"Eurythoe laevisetis Fauvel, 1914";"Eurythoe laevisetis";"non-indigenous";;;"MT,ES"
"Eusarsiella zostericola (Cushman, 1906)";"Eusarsiella zostericola";"non-indigenous";;;"UK"
"Eusyllis kupfferi Langerhans, 1879";"Eusyllis kupfferi";"non-indigenous";;;"CY"
"Eutintinnus lusus-undae (Entz, 1885)";"Eutintinnus lusus-undae";"non-indigenous";;;"BG,RO"
"Evadne anonyx G.O. Sars, 1897";"Evadne anonyx";"non-indigenous";;;"EE,FI,LV,PL,SE"
"Exaiptasia pallida (Agassiz in Verrill, 1864)";"Exaiptasia pallida";"non-indigenous";;;"FR"
"Fabriciola ghardaqa Banse, 1959";"Fabriciola ghardaqa";"non-indigenous";;;"IT"
"Fauveliopsis glabra (Hartman, 1960)";"Fauveliopsis glabra";"non-indigenous";;;"ES"
"Faxonius limosus (Rafinesque, 1817)";"Faxonius limosus";"non-indigenous";;;"PL"
"Fenestrulina delicia Winston, Hayward & Craig, 2000";"Fenestrulina delicia";"non-indigenous";;;"BE,DE,IE,NL,UK"
"Fenestrulina malusii (Audouin, 1826)";"Fenestrulina malusii";"non-indigenous";;;"ES"
"Ferosagitta galerita (Dallot, 1971)";"Ferosagitta galerita";"non-indigenous";;;"HR"
"Fibrocapsa japonica S.Toriumi & H.Takano, 1973";"Fibrocapsa japonica";"non-indigenous";;;"FR,DE,NL,ES,SE"
"Ficopomatus enigmaticus (Fauvel, 1923)";"Ficopomatus enigmaticus";"non-indigenous";;;"BE,BG,HR,DK,FR,DE,EL,IE,IT,NL,PT,RO,SI,ES,SE,UK"
"Filellum serratum (Clarke, 1879)";"Filellum serratum";"cryptogenic";"FR,IT,ES";;
"Finella pupoides A. Adams, 1860";"Finella pupoides";"non-indigenous";;;"CY"
"Fistularia commersonii Rüppell, 1838";"Fistularia commersonii";"non-indigenous";;;"HR,CY,FR,EL,IT,MT,ES"
"Fistulobalanus albicostatus (Pilsbry, 1916)";"Fistulobalanus albicostatus";"non-indigenous";;;"FR"
"Fucus distichus Linnaeus, 1767";"Fucus distichus";"cryptogenic";"UK";;
"Fucus evanescens C.Agardh, 1820";"Fucus evanescens";"cryptogenic";"DK,DE,SE,UK";;
"Fucus spiralis Linnaeus, 1753";"Fucus spiralis";"non-indigenous";;;"FR,ES"
"Fulvia fragilis (Forsskål in Niebuhr, 1775)";"Fulvia fragilis";"non-indigenous";;;"CY,EL,IT,MT,ES"
"Fundulus heteroclitus heteroclitus (Linnaeus, 1766)";"Fundulus heteroclitus";"non-indigenous";;;"PT,ES"
"Fusinus rostratus (Olivi, 1792)";"Fusinus rostratus";"non-indigenous";;;"FR,ES"
"Gafrarium savignyi (Jonas, 1846)";"Gafrarium savignyi";"non-indigenous";;;"CY"
"Gammarus tigrinus Sexton, 1939";"Gammarus tigrinus";"non-indigenous";;;"BE,DK,EE,FI,DE,LV,LT,PL,SE,UK"
"Ganonema farinosum (J.V.Lamouroux) K.C.Fan & Yung C.Wang, 1974";"Ganonema farinosum";"cryptogenic";"CY,EL,ES";;
"Garveia franciscana (Torrey, 1902)";"Garveia franciscana";"cryptogenic/non-indigenous";"BE,DE,NL";;"BG,IT,RO,ES"
"Gelidium vagum Okamura, 1934";"Gelidium vagum";"non-indigenous";;;"NL"
"Gibbula albida (Gmelin, 1791)";"Gibbula albida";"non-indigenous";;;"FR,ES"
"Glabropilumnus laevis (Dana, 1852)";"Glabropilumnus laevis";"non-indigenous";;;"IT"
"Glaucostegus halavi (Forsskål, 1775)";"Glaucostegus halavi";"non-indigenous";;;"FR"
"Glycera capitata Örsted, 1843";"Glycera capitata";"data-deficient";;"BG";
"Glycinde bonhourei Gravier, 1904";"Glycinde bonhourei";"non-indigenous";;;"EL"
"Glycymeris glycymeris (Linnaeus, 1758)";"Glycymeris glycymeris";"non-indigenous";;;"NL"
"Gobiosoma bosc (Lacepède, 1800)";"Gobiosoma bosc";"non-indigenous";;;"DE"
"Godiva quadricolor (Barnard, 1927)";"Godiva quadricolor";"non-indigenous";;;"IT,ES"
"Goniadella gracilis (Verrill, 1873)";"Goniadella gracilis";"non-indigenous";;;"DK,FR,PT,ES,UK"
"Goniobranchus annulatus (Eliot, 1904)";"Goniobranchus annulatus";"non-indigenous";;;"CY,EL"
"Gonioinfradens paucidentatus (A. Milne Edwards, 1861)";"Gonioinfradens paucidentatus";"non-indigenous";;;"EL"
"Gonionemus vertens A. Agassiz, 1862";"Gonionemus vertens";"non-indigenous";;;"BE,DK,FR,DE,IT,NL,PT,SE,UK"
"Goniotrichopsis sublittoralis G.M.Smith, 1943";"Goniotrichopsis sublittoralis";"non-indigenous";;;"FR,ES"
"Gracilaria vermiculophylla (Ohmi) Papenfuss, 1967";"Gracilaria vermiculophylla";"non-indigenous";;;"DK,FR,DE,IE,IT,NL,PT,ES,SE"
"Grallatoria reptans M.A.Howe, 1920";"Grallatoria reptans";"cryptogenic";"PT,ES";;
"Grandidierella japonica Stephensen, 1938";"Grandidierella japonica";"non-indigenous";;;"SE,UK"
"Grateloupia asiatica S.Kawaguchi & H.W.Wang, 2001";"Grateloupia asiatica";"non-indigenous";;;"FR"
"Grateloupia imbricata Holmes, 1896";"Grateloupia imbricata";"non-indigenous";;;"PT,ES"
"Grateloupia minima P.L.Crouan & H.M.Crouan, 1867";"Grateloupia minima";"non-indigenous";;;"FR,IT"
"Grateloupia patens (Okamura) S.Kawaguchi & H.W.Wang, 2001";"Grateloupia patens";"non-indigenous";;;"FR"
"Grateloupia subpectinata Holmes, 1912";"Grateloupia subpectinata";"non-indigenous";;;"FR,PT,ES,UK"
"Grateloupia turuturu Yamada, 1941";"Grateloupia turuturu";"non-indigenous";;;"FR,IT,NL,PT,ES,UK"
"Grateloupia yinggehaiensis H.W.Wang & R.X.Luan, 2012";"Grateloupia yinggehaiensis";"non-indigenous";;;"IT"
"Griffithsia corallinoides (Linnaeus) Trevisan, 1845";"Griffithsia corallinoides";"non-indigenous";;;"FR,IT"
"Gymnodinium catenatum H.W.Graham, 1943";"Gymnodinium catenatum";"cryptogenic";"EL,IT,PT,ES";;
"Gymnodinium nolleri M.Ellegaard & Ø.Moestrup, 1999";"Gymnodinium nolleri";"cryptogenic";"BG,SE";;
"Gymnophycus hapsiphorus Huisman & Kraft, 1983";"Gymnophycus hapsiphorus";"non-indigenous";;;"ES"
"Gyrodinium corallinum Kofoid & Swezy, 1921";"Gyrodinium corallinum";"non-indigenous";;;"SE"
"Halgerda willeyi Eliot, 1904";"Halgerda willeyi";"non-indigenous";;;"HR"
"Haliclona (Haliclona) simulans (Johnston, 1842)";"Haliclona (Haliclona) simulans";"non-indigenous";;;"NL"
"Haliclona (Haliclona) urceolus (Rathke & Vahl, 1806)";"Haliclona (Haliclona) urceolus";"non-indigenous";;;"NL"
"Haliclona (Reniera) cinerea (Grant, 1826)";"Haliclona (Reniera) cinerea";"non-indigenous";;;"NL"
"Haliclona (Rhizoniera) rosea (Bowerbank, 1866)";"Haliclona (Rhizoniera) rosea";"non-indigenous";;;"NL"
"Haliclona (Soestella) xena De Weerdt, 1986";"Haliclona (Soestella) xena";"cryptogenic";"BE,DE,NL";;
"Haliclystus salpinx James-Clark, 1863";"Haliclystus salpinx";"non-indigenous";;;"NL"
"Haliotis discus hannai Ino, 1953";"Haliotis discus";"data-deficient";;"IE";
"Haliotis tuberculata Linnaeus, 1758";"Haliotis tuberculata";"non-indigenous";;;"IE,UK"
"Halisarca dujardinii Johnston, 1842";"Halisarca dujardinii";"non-indigenous";;;"NL"
"Haliscera bigelowi Kramp, 1947";"Haliscera bigelowi";"non-indigenous";;;"HR,ES"
"Halophila stipulacea (Forsskål) Ascherson, 1867";"Halophila stipulacea";"non-indigenous";;;"CY,EL,IT,MT"
"Halothrix lumbricalis (Kützing) Reinke, 1888";"Halothrix lumbricalis";"non-indigenous";;;"FR,IT"
"Hamimaera hamigera (Haswell, 1879)";"Hamimaera hamigera";"non-indigenous";;;"CY"
"Haminoea cyanomarginata Heller & Thompson, 1983";"Haminoea cyanomarginata";"non-indigenous";;;"EL,IT,MT"
"Haminoea japonica Pilsbry, 1895";"Haminoea japonica";"non-indigenous";;;"IT,ES"
"Hemigrapsus sanguineus (De Haan, 1835)";"Hemigrapsus sanguineus";"non-indigenous";;;"BE,HR,DK,FR,DE,NL,RO"
"Hemigrapsus takanoi Asakura & Watanabe, 2005";"Hemigrapsus takanoi";"non-indigenous";;;"BE,DK,FR,DE,NL,ES"
"Hemimysis anomala G.O. Sars, 1907";"Hemimysis anomala";"non-indigenous";;;"EE,FI,DE,LT,PL,SE"
"Hemiramphus far (Forsskål, 1775)";"Hemiramphus far";"non-indigenous";;;"CY,EL"
"Herbstia nitida Manning & Holthuis, 1981";"Herbstia nitida";"non-indigenous";;;"IT"
"Herdmania momus (Savigny, 1816)";"Herdmania momus";"non-indigenous";;;"CY,EL"
"Herposiphonia parca Setchell, 1926";"Herposiphonia parca";"non-indigenous";;;"FR"
"Herrmannella duggani Holmes & Minchin, 1991 ";"Herrmannella duggani";"cryptogenic";"IE";;
"Hesionides arenaria Friedrich, 1937";"Hesionides arenaria";"cryptogenic";"BG,RO";;
"Hesionura serrata (Hartmann-Schröder, 1960)";"Hesionura serrata";"non-indigenous";;;"IT,ES"
"Hesperibalanus fallax (Broch, 1927)";"Hesperibalanus fallax";"non-indigenous";;;"FR,UK"
"Heterocyclina tuberculata (Möbius, 1880)";"Heterocyclina tuberculata";"cryptogenic";"EL";;
"Heterolaophonte hamondi Hicks, 1975";"Heterolaophonte hamondi";"cryptogenic";"IE";;
"Heterosigma akashiwo (Y.Hada) Y.Hada ex Y.Hara & M.Chihara, 1987";"Heterosigma akashiwo";"cryptogenic";"BE,DK,FR,IE,NL,ES";;
"Heterostegina depressa d'Orbigny, 1826";"Heterostegina depressa";"non-indigenous";;;"EL"
"Heterotentacula mirabilis (Kramp, 1957)";"Heterotentacula mirabilis";"non-indigenous";;;"ES"
"Hexapleomera robusta (Moore, 1894)";"Hexapleomera robusta";"non-indigenous";;;"ES"
"Hexaplex trunculus (Linnaeus, 1758)";"Hexaplex trunculus";"non-indigenous";;;"FR,PT,ES"
"Hippopodina feegeensis (Busk, 1884)";"Hippopodina feegeensis";"non-indigenous";;;"EL"
"Holacanthus ciliaris (Linnaeus, 1758)";"Holacanthus ciliaris";"non-indigenous";;;"HR"
"Homarus americanus H. Milne Edwards, 1837";"Homarus americanus";"data-deficient/non-indigenous";;"UK";"DK,FR,IE,SE"
"Huso huso (Linnaeus, 1758)";"Huso huso";"non-indigenous";;;"DK,EE,LV"
"Hyboscolex longiseta Schmarda, 1861";"Hyboscolex longiseta";"cryptogenic";"EL,IT";;
"Hydroides albiceps (Grube, 1870)";"Hydroides albiceps";"non-indigenous";;;"FR"
"Hydroides dirampha Mörch, 1863";"Hydroides dirampha";"non-indigenous";;;"EL,IT,ES"
"Hydroides elegans (Haswell, 1883)";"Hydroides elegans";"non-indigenous";;;"MT,NL"
"Hydroides elegans (Haswell, 1883) [nomen protectum]";"Hydroides elegans";"non-indigenous";;;"CY,FR,EL,IT,PT,RO,ES,UK"
"Hydroides ezoensis Okuda, 1934";"Hydroides ezoensis";"non-indigenous";;;"FR,UK"
"Hydroides heterocera (Grube, 1868)";"Hydroides heterocera";"non-indigenous";;;"CY"
"Hymeniacidon perlevis (Montagu, 1814)";"Hymeniacidon perlevis";"non-indigenous";;;"NL"
"Hypania invalida (Grube, 1860)";"Hypania invalida";"non-indigenous";;;"DE"
"Hypnea anastomosans Papenfuss, Lipkin & P.C.Silva, 2002";"Hypnea anastomosans";"non-indigenous";;;"EL"
"Hypnea cervicornis J.Agardh, 1851";"Hypnea cervicornis";"non-indigenous";;;"IT"
"Hypnea cornuta (Kützing) J.Agardh, 1851";"Hypnea cornuta";"non-indigenous";;;"EL,IT"
"Hypnea flagelliformis Greville ex J.Agardh, 1851";"Hypnea flagelliformis";"non-indigenous";;;"PT"
"Hypnea spinella (C.Agardh) Kützing, 1847";"Hypnea spinella";"non-indigenous";;;"HR,FR,EL,IT,ES"
"Hypnea valentiae (Turner) Montagne, 1841";"Hypnea valentiae";"non-indigenous";;;"FR,EL,IT,ES"
"Hypophthalmichthys nobilis (Richardson, 1845)";"Hypophthalmichthys nobilis";"non-indigenous";;;"EE,LV"
"Hypselodoris infucata (Rüppell & Leuckart, 1830)";"Hypselodoris infucata";"non-indigenous";;;"CY,EL"
"Ianiropsis serricaudis Gurjanova, 1936";"Ianiropsis serricaudis";"non-indigenous";;;"NL"
"Ictalurus punctatus (Rafinesque, 1818)";"Ictalurus punctatus";"non-indigenous";;;"EE"
"Imogine necopinata Sluys, Faubel, Rajagopal & van der Velde, 2005";"Imogine necopinata";"cryptogenic";"NL";;
"Incisocalliope aestuarius (Watling & Maurer, 1973)";"Incisocalliope aestuarius";"non-indigenous";;;"BE,NL"
"Indothais lacera (Born, 1778)";"Indothais lacera";"non-indigenous";;;"CY,IT"
"Isochrysis galbana Parke, 1949";"Isochrysis galbana";"cryptogenic";"IE";;
