"SpeciesOriginal";"Species";"Status";"cryptogenic";"data-deficient";"non-indigenous"
"Amphibalanus improvisus (Darwin, 1854)";"Amphibalanus improvisus";"cryptogenic";"BE,BG,HR,DK,EE,FI,FR,DE,IE,IT,LV,LT,NL,PL,RO,ES,SE,UK";;
"Amphibalanus reticulatus (Utinomi, 1967)";"Amphibalanus reticulatus";"non-indigenous";;;"BE,FR"
"Amphibalanus variegatus (Darwin, 1854)";"Amphibalanus variegatus";"non-indigenous";;;"BE,FR"
"Amphistegina cf. papillosa Said, 1949";"Amphistegina cf. papillosa";"non-indigenous";;;"IT"
"Amphistegina lessonii d'Orbigny in Guérin-Méneville, 1832";"Amphistegina lessonii";"non-indigenous";;;"IT"
"Amphistegina lobifera Larsen 1976";"Amphistegina lobifera";"non-indigenous";;;"IT"
"Amphistegina lobifera Larsen, 1976";"Amphistegina lobifera";"non-indigenous";;;"CY,EL,MT"
"Amphogona pusilla Hartlaub, 1909";"Amphogona pusilla";"data-deficient/non-indigenous";;"IT";"FR"
"Ampithoe valida Smith, 1873";"Ampithoe valida";"non-indigenous";;;"FR,PT"
"Anadara kagoshimensis (Tokunaga, 1906)";"Anadara kagoshimensis";"non-indigenous";;;"BG,HR,IT,RO,SI,ES"
"Anadara transversa (Say, 1822)";"Anadara transversa";"non-indigenous";;;"HR,EL,IT,SI,ES"
"Anomia chinensis Philippi, 1849";"Anomia chinensis";"data-deficient";;"FR";
"Anomia ephippium Linnaeus, 1758";"Anomia ephippium";"non-indigenous";;;"NL"
"Anoplodactylus californicus Hall, 1912";"Anoplodactylus californicus";"non-indigenous";;;"IT"
"Anotrichium furcellatum (J.Agardh) Baldock, 1976";"Anotrichium furcellatum";"cryptogenic/non-indigenous";"FR,EL,PT,ES";;"NL,UK"
"Anteaeolidiella foulisi (Angas, 1864) complex";"Anteaeolidiella foulisi";"data-deficient";;"IT";
"Anteaeolidiella lurana (Ev. Marcus & Er. Marcus, 1967)";"Anteaeolidiella lurana";"non-indigenous";;;"MT"
"Antithamnion amphigeneum A.J.K.Millar, 1990";"Antithamnion amphigeneum";"non-indigenous";;;"FR,IT,PT,ES"
"Antithamnion densum (Suhr) M.A.Howe, 1914";"Antithamnion densum";"non-indigenous";;;"IE,PT,ES,UK"
"Antithamnion densum (Suhr) M.Howe";"Antithamnion densum";"non-indigenous";;;"FR"
"Antithamnion diminuatum Wollaston, 1968";"Antithamnion diminuatum";"non-indigenous";;;"PT,ES"
"Antithamnion hubbsii E.Y.Dawson, 1962";"Antithamnion hubbsii";"non-indigenous";;;"FR,IT,PT,ES"
"Antithamnionella boergesenii (Cormaci & G.Furnari) Athanasiadis, 1996";"Antithamnionella boergesenii";"cryptogenic";"FR,ES";;
"Antithamnionella elegans (Berthold) J.H.Price & D.M.John";"Antithamnionella elegans";"cryptogenic";"EL";;
"Antithamnionella elegans (Berthold) J.H.Price & D.M.John, 1986";"Antithamnionella elegans";"cryptogenic";"FR,IT,ES";;
"Antithamnionella spirographidis (Schiffner) E.M.Wollaston, 1968";"Antithamnionella spirographidis";"cryptogenic/data-deficient";"BE,FR,EL,IE,IT,NL,PT,ES,UK";"HR";
"Antithamnionella sublittoralis (Setchell & Gardner) Athanasiadis, 1996";"Antithamnionella sublittoralis";"data-deficient";;"IT";
"Antithamnionella ternifolia (Hooker fil. & Harvey) Lyle";"Antithamnionella ternifolia";"non-indigenous";;;"FR"
"Antithamnionella ternifolia (J.D.Hooker & Harvey) Lyle, 1922";"Antithamnionella ternifolia";"non-indigenous";;;"BE,DE,IE,NL,PT,ES,UK"
"Apanthura sandalensis Stebbing, 1900";"Apanthura sandalensis";"non-indigenous";;;"CY"
"Apedinella radians (Lohmann) P.H.Campbell, 1973";"Apedinella radians";"non-indigenous";;;"BG,RO"
"Aphelochaeta marioni (Saint-Joseph, 1894)";"Aphelochaeta marioni";"cryptogenic";"DK";;
"Apionsoma (Apionsoma) misakianum (Ikeda, 1904)";"Apionsoma (Apionsoma) misakianum";"non-indigenous";;;"MT"
"Aplidium glabrum (Verrill, 1871)";"Aplidium glabrum";"cryptogenic";"DE,NL";;
"Aplidium pallidum (Verrill, 1871)";"Aplidium pallidum";"cryptogenic";"IT";;
"Aplus dorbignyi (Payraudeau, 1826)";"Aplus dorbignyi";"non-indigenous";;;"PT"
"Aplysia dactylomela Rang, 1828";"Aplysia dactylomela";"cryptogenic";"HR,CY,EL,IT,MT,PT,ES";;
"Aplysia parvula Mörch, 1863";"Aplysia parvula";"cryptogenic";"HR,EL,IT,MT";;
