"locality";"locationID";"higherGeography";"MRGID";"placeType";"latitude";"longitude";"minLongitude";"maxLongitude";"minLatitude";"maxLatitude"
"Dutch Exclusive  Economic Zone";"http://marineregions.org/mrgid/5668";"Netherlands";5668;"EEZ";"53.61208";"4.18654";"2.53933";"7.21028";"51.03976";"55.765"
"Dutch Exclusive  Economic Zone";"http://marineregions.org/mrgid/5668";"North Sea";5668;"EEZ";"53.61208";"4.18654";"2.53933";"7.21028";"51.03976";"55.765"
"Northern North Atlantic";"http://marineregions.org/mrgid/18040";"North Atlantic Ocean";18040;"General Sea Area";"62";"-20";;;;
"South Africa";"http://marineregions.org/mrgid/18093";;18093;"General Region";"-28";"25";;;;
"Northern North Pacific";"http://marineregions.org/mrgid/18064";"North Pacific Ocean";18064;"General Sea Area";"55";"-170";;;;
"Cobscook Bay";"http://marineregions.org/mrgid/21555";"Bay of Fundy";21555;"Bay";"44.9095235";"-67.0555366";"-67.128303";"-66.98827";"44.858726";"44.963388"
"Spuikom";"http://marineregions.org/mrgid/5477";"Belgium";5477;"Dock";"51.228";"2.953";"2.94185";"2.96172";"51.22471";"51.23196"
"Western South Atlantic";"http://marineregions.org/mrgid/18050";"South Africa";18050;"General Sea Area";"-47";"-7";;;;
"Barents Sea";"http://marineregions.org/mrgid/4247";"Barentsz Sea";4247;"IHO Sea Area";"74.7239250592";"42.11782660718";"16.58178101778";"68.57826318668";"65.88276755848";"81.85123443572"
"Danish Exclusive Economic Zone";"http://marineregions.org/mrgid/5674";"Denmark";5674;"EEZ";"56.14213";"9.24983";"3.25";"16.50737";"54.36483";"58.26144"
"Greenlandic Exclusive Economic Zone";"http://marineregions.org/mrgid/8438";;8438;"EEZ";"75.47965";"-31.97096";"-75";"7.96833";"56.38707";"86.99401"
"Scandinavia";"http://marineregions.org/mrgid/2184";;2184;"General Region";"63";"12";;;;
"Polish Exclusive Economic Zone";"http://marineregions.org/mrgid/5687";"Baltic Sea";5687;"EEZ";"54.90857";"17.2906";"14.2014";"19.80486";"52.65352";"55.92155"
"Beaufort Sea";"http://marineregions.org/mrgid/4256";"Beaufort Sea";4256;"IHO Sea Area";"72.13923071101";"-136.82924749189";"-156.66489112353";"-122.65277135381";"67.59654724626";"76.36291547159"
"White Sea";"http://marineregions.org/mrgid/4248";"White Sea";4248;"IHO Sea Area";"66.22301256939";"39.3148169263";"32.13250935053";"45.6715829374";"60.95104753991";"68.65684270321"
"English Channel";"http://marineregions.org/mrgid/2389";"English Channel";2389;"IHO Sea Area";"49.8612179473";"-2.06339505792";"-5.70872848068";"1.93090510399";"48.50002086187";"51.16600370667"
"Dunkerque";"http://marineregions.org/mrgid/881";"France";881;"Commune";"51.02876";"2.37436";"2.30227";"2.44645";"50.99687";"51.06066"
"Isle of Man";"http://marineregions.org/mrgid/3258";"Irish Sea and St. George's Channel";3258;"Island";"54.2399";"-4.54935";"-4.7877";"-4.311";"54.0604";"54.4194"
"Isle of Wight";"http://marineregions.org/mrgid/3217";"English Channel";3217;"Island";"50.671";"-1.3262";"-1.5841";"-1.0683";"50.5746";"50.7674"
"Spitsbergen";"http://marineregions.org/mrgid/5335";"Greenland Sea";5335;"Island";"78.31095";"16.0928";"10.667";"21.5186";"76.5612";"80.0607"
"Spitsbergen";"http://marineregions.org/mrgid/5335";"Norwegian Sea";5335;"Island";"78.31095";"16.0928";"10.667";"21.5186";"76.5612";"80.0607"
"Spitsbergen";"http://marineregions.org/mrgid/5335";"Barentsz Sea";5335;"Island";"78.31095";"16.0928";"10.667";"21.5186";"76.5612";"80.0607"
"Jail Island";"http://marineregions.org/mrgid/21386";"Canada";21386;"Island";"45.060958";"-66.828015";;;;
"Lime Kiln Bay";"http://marineregions.org/mrgid/21394";"Canada";21394;"Bay";"45.062418";"-66.83285";"-66.81975";"-66.83945";"45.059";"45.07037"
"Bliss Harbour";"http://marineregions.org/mrgid/21366";"Canada";21366;"Harbour";"45.0347";"-66.837985";;;;
"Canadian Exclusive Economic Zone [Pacific part]";"http://marineregions.org/mrgid/26584";"Canada";26584;"Marine Region";"55";"-135";;;;
"North Pacific";"http://marineregions.org/mrgid/1908";"North Pacific Ocean";1908;"IHO Sea Area";"23.9623940894";"-40.1574405109";"-76.9854403734";"128.686531125";"2e-11";"58.211545022"
"North East Pacific";"http://marineregions.org/mrgid/17965";;17965;"General Sea Area";"48.92";"-142";;;;
"FAO fishing area 67";"http://marineregions.org/mrgid/8744";;8744;"FAO Major Marine Fishing Areas";"50.0772";"-152.301";;;;
"West Coast of Norway";"http://marineregions.org/mrgid/14297";"Norway";14297;"Coast";"66.19601";"12.62625";;;;
"South Africa (country)";"http://marineregions.org/mrgid/2176";"South Africa";2176;"Nation";"-34.55306";"27.18777";"16.48333";"37.89222";"-46.96973";"-22.13639"
"Antarctic Zone";"http://marineregions.org/mrgid/48681";;48681;"General Sea Area";;;"-180";"180";"-90";"-48"
"Roscoff";"http://marineregions.org/mrgid/14276";"France";14276;"Commune";"48.7166666666667";"-3.9833";;;;
"Plymouth";"http://marineregions.org/mrgid/3171";"United Kingdom";3171;"Unitary Authority";"50.396389";"-4.138611";;;;
"Golfe Normanno-Breton";"http://marineregions.org/mrgid/17599";"English Channel";17599;"Gulf";"49";"-2.33";;;;
"Baie de la Seine";"http://marineregions.org/mrgid/3323";"English Channel";3323;"Bay";"49.4458333333333";"-0.506666666666667";"0.64";"-1.38";"49.06";"49.9"
"Arcachon Bay";"http://marineregions.org/mrgid/5206";"Bay of Biscay";5206;"Lagoon";"44.66666667";"-1.16666667";"-0.93";"-1.31";"44.54";"44.8"
"Borssele";"http://marineregions.org/mrgid/18606";"Netherlands";18606;"Inhabited Place";"51.4167";"3.7343";;;;
"British Isles";"http://marineregions.org/mrgid/3140";"United Kingdom";3140;"Archipelago";"55.0205";"-4.450799";"-10.6645";"1.7629";"49.1649";"60.8761"
"Hoedekenskerke (polder)";"http://marineregions.org/mrgid/17625";"Netherlands";17625;"Polder";"51.43333";"3.9";;;;
"Voordelta";"http://marineregions.org/mrgid/14324";"Netherlands";14324;"General Sea Area";"51.74574";"3.72162";;;;
"Voordelta";"http://marineregions.org/mrgid/14324";"North Sea";14324;"General Sea Area";"51.74574";"3.72162";;;;
"Zeeland";"http://marineregions.org/mrgid/19";"Netherlands";19;"Province (administrative)";"51.4871";"3.8177";"3.3587";"4.2767";"51.201";"51.7732"
"Canada";"http://marineregions.org/mrgid/2169";"Canada";2169;"Nation";"62.39471";"-96.81018";"-141.003";"-52.61736";"41.67556";"83.11388"
"Atlantic Ocean";"http://marineregions.org/mrgid/1902";;1902;"General Sea Area";"4.31179809570312";"-31.5040283203125";"-83.008056640625";"20";"-60";"68.6235961914062"
"Azores Exclusive Economic Zone";"http://marineregions.org/mrgid/8361";"North Atlantic Ocean";8361;"EEZ";"38.47538";"-27.97601";"-35.58558";"-20.59917";"33.58636";"43.06483"
"South Korean part of the Japan Sea";"http://marineregions.org/mrgid/25490";"Japan Sea/East Sea";25490;"Marine Region";"36.803662";"129.805058";"126.270264";"132.815554";"33.047641";"40.268984"
"USA";"http://marineregions.org/mrgid/2204";"United States";2204;"Nation";"39";"-100";"-125";"-66";"24";"49"
"Scotland";"http://marineregions.org/mrgid/3252";"United Kingdom";3252;"Country";"57.75455";"-4.6903";"-8.6526";"-0.728";"54.633";"60.8761"
"West-Oléron";"http://marineregions.org/mrgid/17954";"Bay of Biscay";17954;"General Region";"45.947";"-1.362";;;;
"Cordouan (lighthouse)";"http://marineregions.org/mrgid/21670";"Bay of Biscay";21670;"Light(house)";"45.58641";"-1.17348";;;;
"San Sebastian";"http://marineregions.org/mrgid/5651";"Spain";5651;"City";"43.31283";"-1.97499";;;;
"Gironde Estuary";"http://marineregions.org/mrgid/17595";"Bay of Biscay";17595;"Estuary";"45.58333";"-1.05";;;;
"Courbey";"http://marineregions.org/mrgid/21309";"Bay of Biscay";21309;"Field";;;;;;
"St-Jean-de-Luz";"http://marineregions.org/mrgid/17872";"France";17872;"Commune";"43.38333";"-1.66667";;;;
"Abra de Bilbao";"http://marineregions.org/mrgid/17355";"Bay of Biscay";17355;"Bay";"43.35";"-3.05";"-2.92";"-3.23";"43.31";"43.43"
"Santander";"http://marineregions.org/mrgid/14677";"Spain";14677;"Town";"43.4597";"-3.8147";;;;
"Lombardsijde";"http://marineregions.org/mrgid/5662";"Belgium";5662;"Deelgemeente";"51.15";"2.75";;;;
"England";"http://marineregions.org/mrgid/16";"United Kingdom";16;"Country";"52.4874";"-2.344";"-6.4509";"1.7629";"49.1649";"55.8099"
"Greek Exclusive Economic Zone";"http://marineregions.org/mrgid/5679";"Mediterranean Sea - Eastern Basin";5679;"EEZ";"36.50714";"23.93245";"18.26167";"30.10359";"33.28103";"41.09133"
"Greek Exclusive Economic Zone";"http://marineregions.org/mrgid/5679";"Greece";5679;"EEZ";"36.50714";"23.93245";"18.26167";"30.10359";"33.28103";"41.09133"
"Marennes-Oléron bay";"http://marineregions.org/mrgid/5374";"Bay of Biscay";5374;"Bay";"45.91666667";"-1.16666667";"-1.29";"-0.99";"45.81";"46.17"
"Ría del Eo";"http://marineregions.org/mrgid/17830";"Spain";17830;"Estuary";"43.46667";"-7.05";;;;
"Mozambique";"http://marineregions.org/mrgid/2220";"Mozambique";2220;"Nation";"-18.6657";"35.52956";"30.21302";"40.84611";"-26.86028";"-10.47111"
"Gulf of Mexico";"http://marineregions.org/mrgid/4288";"Gulf of Mexico";4288;"IHO Sea Area";"24.94231562654";"-90.37958525236";"-98.05392181844";"-80.43304073784";"17.40680801848";"31.46484375034"
"Venezuela";"http://marineregions.org/mrgid/2201";"Venezuela";2201;"Nation";"6.423332";"-66.59056";"-73.37807";"-59.80305";"0.649164";"12.1975"
"Mexico";"http://marineregions.org/mrgid/2224";"Mexico";2224;"Nation";"23.6345";"-102.5714";"-118.4042";"-86.73862";"14.55054";"32.71846"
"Caribbean Sea";"http://marineregions.org/mrgid/4287";"Caribbean Sea";4287;"IHO Sea Area";"15.31030445709";"-74.67801130419";"-89.41292977359";"-59.42160093753";"7.70979893208";"22.70652472953"
"Cuba";"http://marineregions.org/mrgid/8637";"Cuba";8637;"Nation";"21.50799";"-79.54209";"-84.95293";"-74.13126";"19.82195";"23.19403"
"Brazilian Exclusive Economic Zone";"http://marineregions.org/mrgid/8464";"Brazil";8464;"EEZ";"-11.09799";"-39.44423";"-54.58321";"-26.01452";"-35.78779";"7.04507"
"Cap Ferret canyon";"http://marineregions.org/mrgid/4905";"Bay of Biscay";4905;"Canyon(s)";"44.67956150757";"-2.124593332067";"-2.2633";"-2.0653";"44.5833";"44.7233"
"Basque Coast of Spain";"http://marineregions.org/mrgid/18018";;18018;"Coast";"43.42";"-4.63";;;;
"Atlantic Coast of France";"http://marineregions.org/mrgid/14305";"France";14305;"Coast";"48";"-4.5";;;;
"Capbreton canyon";"http://marineregions.org/mrgid/4199";"Bay of Biscay";4199;"Canyon(s)";"43.683333";"-2.516667";;;;
"Hendaye";"http://marineregions.org/mrgid/17620";"France";17620;"Commune";"43.36667";"-1.78333";;;;
"Doggersbank";"http://marineregions.org/mrgid/2395";"North Sea";2395;"Bank";"54.833333";"2.333333";;;;
"Grevelingen";"http://marineregions.org/mrgid/17605";"Netherlands";17605;"Channel";"51.73333";"3.98333";;;;
"Haringvliet";"http://marineregions.org/mrgid/17613";"Netherlands";17613;"Harbour";"51.91667";"4.5";;;;
"Katwijk";"http://marineregions.org/mrgid/17659";"Netherlands";17659;"Commune";"52.19417";"4.42222";;;;
"Kijkduin";"http://marineregions.org/mrgid/14902";"Netherlands";14902;"Town";"52.95";"4.719";;;;
"Noordwijk";"http://marineregions.org/mrgid/17767";"Netherlands";17767;"Commune";"52.23333";"4.43333";;;;
"Oestergronden";"http://marineregions.org/mrgid/20877";"Netherlands";20877;"Basin";"54.45";"4.25";;;;
