"locality";"locationID";"higherGeography";"MRGID";"placeType";"latitude";"longitude";"minLongitude";"maxLongitude";"minLatitude";"maxLatitude"
"United Kingdom part of the English Channel";"http://marineregions.org/mrgid/25217";"English Channel";25217;"Marine Region";"50.242438";"-2.405433";"-5.6875";"1.546078";"49.258415";"51.136538"
"Bay of Bengal";"http://marineregions.org/mrgid/4273";"Bay of Bengal";4273;"IHO Sea Area";"13.17322167025";"87.45442549439";"78.89822006251";"95.04884011645";"5.73397101601";"24.37766897644"
"Australia";"http://marineregions.org/mrgid/2147";"Australia";2147;"Nation";"-25";"133";;;;
"Auckland";"http://marineregions.org/mrgid/8890";"New Zealand";8890;"Region";"-36.66957";"174.8687";"174.1779";"175.5596";"-37.27331";"-36.06584"
"Table Bay";"http://marineregions.org/mrgid/15306";;15306;"Bay";"-33.88";"18.45";"18.53";"18.37";"-33.93";"-33.77"
"Knysna";"http://marineregions.org/mrgid/48920";"South Africa";48920;"Harbour";;;;;;
"Deer Island";"http://marineregions.org/mrgid/21375";"Canada";21375;"Island";;;;;;
"Sao Paulo";"http://marineregions.org/mrgid/9069";"Brazil";9069;"State";"-22.54815";"-48.65974";"-53.15685";"-44.16264";"-25.31492";"-19.78139"
"Kerkennah Islands";"http://marineregions.org/mrgid/26721";"Mediterranean Sea - Eastern Basin";26721;"Inhabited Place";"34.7";"11.183333";;;;
"Gulf of Guinea";"http://marineregions.org/mrgid/4286";"Gulf of Guinea";4286;"IHO Sea Area";"3.25039935196";"3.05669434711";"-7.72633564497";"10.18268692506";"-1.72958207106";"6.62269365749"
"South Pacific";"http://marineregions.org/mrgid/1910";"South Pacific Ocean";1910;"IHO Sea Area";"-30.4571931405";"-82.4547794492";"-146.487909061";"130.111292124";"-60";"3.39114419316"
"Coastal Waters of Southeast Alaska and British Columbia";"http://marineregions.org/mrgid/4313";"The Coastal Waters of Southeast Alaska and British Columbia";4313;"IHO Sea Area";"53.35057767286";"-130.27032545934";"-137.13016986804";"-122.14991795975";"47.02382314232";"59.49716317664"
"Australian part of the Tasman Sea";"http://marineregions.org/mrgid/25472";"Tasman Sea";25472;"Marine Region";"-36.473504";"153.825638";"146.833591";"163.108464";"-45.42529";"-30"
"Peruvian part of the South Pacific Ocean";"http://marineregions.org/mrgid/25642";"South Pacific Ocean";25642;"Marine Region";"-11.706562";"-79.033492";"-84.672209";"-70.402785";"-20.210492";"-3.392767"
"Japanese Sea";"http://marineregions.org/mrgid/4307";"Japan Sea/East Sea";4307;"IHO Sea Area";"40.5084302428";"135.13274500727";"125.8013889";"142.2638347153";"32.57501368363";"51.74733316939"
"Chile";"http://marineregions.org/mrgid/2165";"Chile";2165;"Nation";"-36.70375";"-72.93336";"-109.4461";"-66.42062";"-55.90223";"-17.50528"
"Bay of Fundy";"http://marineregions.org/mrgid/4289";"Bay of Fundy";4289;"IHO Sea Area";"44.97985204212";"-65.8060155567";"-67.32397222534";"-63.30470895745";"44.08801043556";"46.20259165768"
"Canadian part of the North Atlantic Ocean";"http://marineregions.org/mrgid/25356";"North Atlantic Ocean";25356;"Marine Region";"44.701953";"-56.760816";"-67.743056";"-47.743431";"40.0402";"52.038873"
"Spanish part of the Balearic Sea";"http://marineregions.org/mrgid/25607";"Mediterranean Sea - Western Basin";25607;"Marine Region";"40.087057";"1.945755";"-0.337637";"4.276391";"38.643327";"41.946936"
"Canadian part of the Gulf of St-Lawrence";"http://marineregions.org/mrgid/25274";"Canada";25274;"Marine Region";"48.454661";"-61.65769";"-71.299164";"-54.841382";"45.312145";"52.085273"
"United States part of the North Pacific Ocean";"http://marineregions.org/mrgid/25587";"North Pacific Ocean";25587;"Marine Region";"39.016365";"-124.580301";"-129.163506";"-117.115627";"30.542";"48.506112"
"China";"http://marineregions.org/mrgid/8603";"China";8603;"Nation";"35.86131";"104.1943";"73.62005";"134.7685";"18.16888";"53.55375"
"Japan";"http://marineregions.org/mrgid/2121";"Japan";2121;"Nation";"34.86889";"134.7456";"123.6789";"145.8124";"24.25139";"45.48638"
"Hawaiian part of the North Pacific Ocean";"http://marineregions.org/mrgid/25578";"North Pacific Ocean";25578;"Marine Region";"23.844773";"-165.761592";"-180";"-151.276799";"15.563124";"31.797866"
"Brazil";"http://marineregions.org/mrgid/2143";"Brazil";2143;"Nation";"-14.23421";"-54.39876";"-74.00459";"-34.79292";"-33.74112";"5.272709"
"South Korea";"http://marineregions.org/mrgid/8600";"South Korea";8600;"Nation";"35.90873";"127.8429";"126.099";"129.5869";"33.19221";"38.62524"
"Saint-Pierre and Miquelon part of the North Atlantic Ocean";"http://marineregions.org/mrgid/25357";"North Atlantic Ocean";25357;"Marine Region";"45.434947";"-56.316372";"-56.947036";"-55.903334";"43.416111";"46.897917"
"United States";"http://marineregions.org/mrgid/2204";"United States";2204;"Nation";"39";"-100";"-125";"-66";"24";"49"
"South African part of the Indian Ocean";"http://marineregions.org/mrgid/25551";"Indian Ocean";25551;"Marine Region";"-33.366566";"28.605879";"20";"36.532967";"-38.153731";"-26.847146"
"Minas Basin";"http://marineregions.org/mrgid/18789";"Bay of Fundy";18789;"Bay";"45.241616";"-64.191166";"-64.4039";"-63.408";"45.09729";"45.40939"
"French Exclusive Economic Zone [Atlantic part]";"http://marineregions.org/mrgid/8762";"France";8762;"Marine Region";"47.0868";"-4.579649";"-9.855566";"2.546452";"43.376171";"51.55719"
"North Coast of Norway";"http://marineregions.org/mrgid/14296";"Norway";14296;"Coast";;;;;;
"L'Etete";"http://marineregions.org/mrgid/21392";"Canada";21392;"Inhabited Place";"45.05";"-66.9";;;;
"Norwegian part of the North Sea";"http://marineregions.org/mrgid/25233";"North Sea";25233;"Marine Region";"58.591406";"4.058819";"1.483333";"7.941844";"56.086667";"61"
"Dutch part of the North Sea";"http://marineregions.org/mrgid/25232";"North Sea";25232;"Marine Region";"53.623705";"4.188582";"2.539444";"7.208363";"51.262027";"55.765"
"California";"http://marineregions.org/mrgid/8977";"United States";8977;"State";"37.26766";"-119.2464";"-124.3758";"-114.117";"32.53533";"42"
"French part of the English Channel";"http://marineregions.org/mrgid/25214";"English Channel";25214;"Marine Region";"49.566119";"-1.574564";"-5.067718";"1.725636";"48.501664";"51.037694"
"Germany";"http://marineregions.org/mrgid/2101";"Germany";2101;"Nation";"51.16355";"10.45405";"5.8655";"15.0426";"47.2698";"55.0573"
"Australian part of the Coral Sea";"http://marineregions.org/mrgid/25477";"Coral Sea";25477;"Marine Region";"-19.954916";"152.49871";"141.636724";"161.818139";"-30";"-9.365167"
"Italy";"http://marineregions.org/mrgid/2133";"Italy";2133;"Nation";"41.2919";"12.5727";"6.6254";"18.52";"35.4913";"47.0925"
"Spain";"http://marineregions.org/mrgid/2185";"Spain";2185;"Nation";"35.71485";"-6.91625";"-18.1611";"4.3286";"27.6374";"43.7923"
"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia";"http://marineregions.org/mrgid/25505";"The Coastal Waters of Southeast Alaska and British Columbia";25505;"Marine Region";"52.232642";"-129.200698";"-133.319221";"-122.855136";"48.232922";"55.926591"
"Panama";"http://marineregions.org/mrgid/2249";"Panama";2249;"Nation";"8.413122";"-80.11431";"-83.03029";"-77.19833";"7.206109";"9.620136"
"Elkhorn Slough";"http://marineregions.org/mrgid/32757";"United States";32757;"Estuary";"36.80579";"-121.79023";;;;
"Spanish part of the North Atlantic Ocean";"http://marineregions.org/mrgid/25366";"North Atlantic Ocean";25366;"Marine Region";"43.893872";"-10.71121";"-13.852087";"-6.421073";"41.368934";"46.251188"
"Swedish part of the Kattegat";"http://marineregions.org/mrgid/25225";"Kattegat";25225;"Marine Region";"56.883585";"12.112716";"11.042792";"13.061109";"55.327726";"58.034876"
"Swedish part of the Skagerrak";"http://marineregions.org/mrgid/25228";"Skagerrak";25228;"Marine Region";"58.376706";"10.881882";"10.030027";"11.880482";"57.820575";"59.106021"
"Sas van Goes";"http://marineregions.org/mrgid/14732";"North Sea";14732;"Diving spot";"51.529";"3.93";;;;
"Canadian part of the Bay of Fundy";"http://marineregions.org/mrgid/25276";"Bay of Fundy";25276;"Marine Region";"44.97285";"-65.725865";"-67.206546";"-63.369609";"44.086654";"46.086654"
"Portugal";"http://marineregions.org/mrgid/2243";"Portugal";2243;"Nation";"37.39409";"-18.73974";"-31.28903";"-6.190455";"32.6375";"42.15067"
"Arafura Sea";"http://marineregions.org/mrgid/4347";"Arafura Sea";4347;"IHO Sea Area";"-10.51841719236";"136.95566140056";"130.75881290419";"142.19929325618";"-18.00675225281";"-2.90265762835"
"Coral Sea";"http://marineregions.org/mrgid/4364";"Coral Sea";4364;"IHO Sea Area";"-18.22433054841";"156.76782488293";"141.02158935467";"169.86540173121";"-30.0000000002";"-6.79288303852"
"Rio de la Plata";"http://marineregions.org/mrgid/4325";"Rio de La Plata";4325;"IHO Sea Area";"-35.11333788123";"-56.84247798667";"-59.76565611324";"-54.94302365272";"-36.35885643997";"-31.52343749974"
"Solomon Sea";"http://marineregions.org/mrgid/4361";"Solomon Sea";4361;"IHO Sea Area";"-8.71719340798";"154.32237104073";"146.94540274174";"162.34838012157";"-11.88246655429";"-4.83333382143"
"China Sea";"http://marineregions.org/mrgid/4332";"South China Sea";4332;"IHO Sea Area";"11.77674997246";"112.30802222078";"102.2384721041";"122.15129880188";"-3.22872316783";"25.5672843459"
"Mexican part of the North Pacific Ocean";"http://marineregions.org/mrgid/25569";"North Pacific Ocean";25569;"Marine Region";"20.786713";"-110.542811";"-122.183506";"-92.246814";"12.103074";"32.626945"
"Alaskan part of the The Coastal Waters of Southeast Alaska and British Columbia";"http://marineregions.org/mrgid/25504";"The Coastal Waters of Southeast Alaska and British Columbia";25504;"Marine Region";"56.364089";"-133.661137";"-137.118591";"-129.968596";"54.364167";"59.464154"
"United States part of the Gulf of Mexico";"http://marineregions.org/mrgid/25281";"Gulf of Mexico";25281;"Marine Region";"27.48611";"-88.730529";"-97.769336";"-80.387555";"23.822778";"30.701109"
"Bermudian part of the North Atlantic Ocean";"http://marineregions.org/mrgid/25333";"North Atlantic Ocean";25333;"Marine Region";"32.333578";"-64.767956";"-68.826747";"-60.705527";"28.913212";"35.722388"
"Florida";"http://marineregions.org/mrgid/8964";"United States";8964;"State";"27.97406";"-83.82718";"-87.62562";"-80.02875";"24.94638";"31.00174"
"Central Chile";"http://marineregions.org/mrgid/22007";;22007;"Marine Ecoregion of the World (MEOW)";"-29.1161";"-71.2077";;;;
"Durban Bay";"http://marineregions.org/mrgid/17503";"South Africa";17503;"Bay";"-29.86667";"31.01667";"31.07";"30.99";"-29.9";"-29.85"
"Alexander Bay";"http://marineregions.org/mrgid/48933";"South Africa";48933;"Bay";"-28.583333";"16.483333";;;;
"Scilly Isles";"http://marineregions.org/mrgid/3166";"Celtic Sea";3166;"Archipelago";"49.8782501220703";"-6.34820008277893";"-6.45090007781982";"-6.24550008773804";"49.7873992919922";"49.9691009521484"
"Indo-Pacific";"http://marineregions.org/mrgid/14289";;14289;"General Sea Area";"9.79568";"118.82813";"-25";"28";"-35";"32"
"Le Havre";"http://marineregions.org/mrgid/17699";"France";17699;"Town";"49.4938";"0.10767";"0.3";"0.05";"49.44";"49.55"
"Ardrossan";"http://marineregions.org/mrgid/17369";"United Kingdom";17369;"Town";"55.61667";"-4.81667";;;;
"West North Pacific";"http://marineregions.org/mrgid/18066";"North Pacific Ocean";18066;"General Sea Area";"28";"135";;;;
"Knokke-Heist";"http://marineregions.org/mrgid/37";"Belgium";37;"Town";"51.33231";"3.305354";"3.225379";"3.385329";"51.296";"51.36862"
"Belgian Coast";"http://marineregions.org/mrgid/2550";"Belgium";2550;"Coast";"51.23";"2.91";"2.54";"3.37";"51.09";"51.37"
"Irish part of the Celtic Sea";"http://marineregions.org/mrgid/25221";"Celtic Sea";25221;"Marine Region";"50.589428";"-9.262192";"-11.5";"-5.826403";"48.553637";"52.278273"
"Greenlandic part of the Labrador Sea";"http://marineregions.org/mrgid/25273";"Labrador Sea";25273;"Marine Region";"58.62706";"-48.982592";"-55.306078";"-43.902218";"56.576519";"59.884495"
"Denmark";"http://marineregions.org/mrgid/2157";"Denmark";2157;"Nation";"56.1548";"11.63365";"8.0731";"15.1942";"54.559";"57.7506"
"French part of the Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/25185";"Mediterranean Sea - Western Basin";25185;"Marine Region";"42.534178";"6.417678";"2.961318";"9.421245";"41.150833";"43.790973"
"France";"http://marineregions.org/mrgid/17";"France";17;"Nation";"46.21075";"2.18895";"-5.1819";"9.5598";"41.3328";"51.0887"
"Australian part of the Bass Strait";"http://marineregions.org/mrgid/25471";"Bass Strait";25471;"Marine Region";"-39.457467";"146.432145";"143.542955";"149.971636";"-41.186664";"-37.522218"
"Spanish part of the Bay of Biscay";"http://marineregions.org/mrgid/25219";"Bay of Biscay";25219;"Marine Region";"44.239719";"-4.879407";"-7.858264";"-1.758241";"43.291109";"45.429383"
"Romanian part of the Black Sea";"http://marineregions.org/mrgid/25203";"Black Sea";25203;"Marine Region";"44.260412";"30.046451";"28.579436";"31.409704";"43.447003";"45.214364"
"Irish part of the Irish Sea and St. George's Channel";"http://marineregions.org/mrgid/25211";"Irish Sea and St. George's Channel";25211;"Marine Region";"53.031032";"-5.812253";"-6.498191";"-5.241687";"52.054058";"54.099827"
"United Kingdom part of the North Sea";"http://marineregions.org/mrgid/25235";"North Sea";25235;"Marine Region";"56.67095";"0.34006";"-4.431527";"3.4";"51.037694";"61"
"East North Pacific";"http://marineregions.org/mrgid/18063";"North Pacific Ocean";18063;"General Sea Area";"35";"-130";;;;
"Gulf of Riga";"http://marineregions.org/mrgid/2409";"Gulf of Riga";2409;"IHO Sea Area";"57.93519159804";"23.38102817126";"21.72510475582";"24.61678564584";"56.80457985408";"59.21482083532"
"FAO fishing area 18";"http://marineregions.org/mrgid/8747";;8747;"FAO Major Marine Fishing Areas";"80.8797";"-5.30991";;;;
"Nansen Basin";"http://marineregions.org/mrgid/7820";"Arctic Ocean";7820;"Basin";"84.336659539028";"78.661064092605";"13.1605697849";"124.309667813";"78.3685159722";"85.8137099017"
"Amundsen Basin";"http://marineregions.org/mrgid/23534";;23534;"IOS region";"86.748453";"-114.694374";;;;
"Makarov Ridge";"http://marineregions.org/mrgid/24966";"Arctic Ocean";24966;"Basin";"85.86444087";"156.6887446";"105";"173";"83";"87.5"
"Mariakerke";"http://marineregions.org/mrgid/17718";"Belgium";17718;"Village";"51.21667";"2.86667";;;;
"Scheldt estuary";"http://marineregions.org/mrgid/4812";"North Sea";4812;"Estuary";;;"3.421912";"4.406562";"51.203962";"51.684992"
"German Exclusive Economic Zone";"http://marineregions.org/mrgid/5669";"Germany";5669;"EEZ";"54.55354";"8.3944";"3.35";"14.75";"52.87112";"55.91928"
"Hollands Diep";"http://marineregions.org/mrgid/17626";"Netherlands";17626;"Channel";"51.7";"4.55";;;;
"Parnu Bay";"http://marineregions.org/mrgid/2447";"Gulf of Riga";2447;"Bay";"58.2";"24.31666667";"24.59";"24.19";"58.11";"58.44"
"Romanian Exclusive economic Zone";"http://marineregions.org/mrgid/5689";"Black Sea";5689;"EEZ";"44.24109";"30.0785";"28.52782";"31.40972";"43.4398";"45.21284"
"Ukrainian Exclusive Economic Zone";"http://marineregions.org/mrgid/5695";"Ukraine";5695;"EEZ";"44.95192";"33.63465";"29.60404";"38.34363";"43.18806";"47.3103"
"East Africa";"http://marineregions.org/mrgid/9232";;9232;"General Region";"6.8";"44.7";;;;
"Bulgarian Exclusive Economic Zone";"http://marineregions.org/mrgid/5672";"Black Sea";5672;"EEZ";"42.93396";"29.20165";"27.44371";"31.33082";"41.97819";"43.73847"
"Georgian Exclusive Economic Zone";"http://marineregions.org/mrgid/5678";"Black Sea";5678;"EEZ";"42.44625";"40.56174";"38.97585";"42.35496";"41.52049";"43.3857"
"Russian part of the Black Sea";"http://marineregions.org/mrgid/25207";"Black Sea";25207;"Marine Region";"43.628007";"38.001254";"36.151256";"40.00297";"42.343123";"45.127345"
"Turkish Exclusive Economic Zone";"http://marineregions.org/mrgid/5697";"Turkey";5697;"EEZ";"40.52224";"33.2206";"25.44175";"41.54703";"34.20923";"43.44972"
"Pacific Ocean";"http://marineregions.org/mrgid/1903";;1903;"Ocean";"-0.891740798950195";"-149.625";"128.693056";"-67.25";"-60";"58.2165184020996"
"Wenduine";"http://marineregions.org/mrgid/14274";"Belgium";14274;"Village";"51.2983";"3.08213";"3.1";"3.07";"51.29";"51.31"
"De Haan";"http://marineregions.org/mrgid/69";"Belgium";69;"Town";"51.26602";"3.051005";"2.986766";"3.115244";"51.21967";"51.31237"
"Chukchi Sea";"http://marineregions.org/mrgid/21829";;21829;"Marine Ecoregion of the World (MEOW)";"70.2223";"-150.492";;;;
"Somalia";"http://marineregions.org/mrgid/2187";"Federal Republic of Somalia";2187;"Nation";"5.152145";"46.19997";"40.98861";"51.41132";"-1.674873";"11.97916"
"Seychelles";"http://marineregions.org/mrgid/2192";"Seychelles";2192;"Nation";"-7.00736";"50.87312";"46.20569";"55.54055";"-9.463055";"-4.551664"
"Suez canal";"http://marineregions.org/mrgid/4277";"Indian Ocean";4277;"Canal";"30.5727777777778";"32.4919444444444";"32.29";"32.59";"29.91";"31.28"
"South West Indian Ocean";"http://marineregions.org/mrgid/7125";"Indian Ocean";7125;"General Sea Area";"-30";"50";;;;
"Zanzibar";"http://marineregions.org/mrgid/14718";"Indian Ocean";14718;"Island";"-6.097359";"39.380695";"39.18639";"39.575001";"-6.470555";"-5.724164"
"Africa";"http://marineregions.org/mrgid/1923";;1923;"Continent";"1.259205";"19.0676";"-25.36056";"63.49575";"-34.822";"37.34041"
"Haifa Bay";"http://marineregions.org/mrgid/3866";"Mediterranean Sea - Eastern Basin";3866;"Bay";"32.86";"35";"34.97807";"35.09068";"32.81671";"32.92686"
"Tel Aviv";"http://marineregions.org/mrgid/17886";"Israel";17886;"City";"32.066665649414";"34.766666412354";;;;
"East Atlantic";"http://marineregions.org/mrgid/9237";;9237;"General Sea Area";"0";"-30";;;;
"East Mediterranean";"http://marineregions.org/mrgid/15119";"Mediterranean Sea";15119;"General Sea Area";"34.35";"27.65";;;;
"Israel";"http://marineregions.org/mrgid/2123";"Israel";2123;"Nation";"31.37849";"34.97435";"34.26758";"35.68111";"29.48671";"33.27027"
"Kattegat";"http://marineregions.org/mrgid/2374";"Kattegat";2374;"IHO Sea Area";"56.3431976427";"11.30411886559";"9.36559641892";"13.06291067639";"54.63373190945";"58.07746934863"
"Canary Islands Exclusive Economic Zone";"http://marineregions.org/mrgid/8364";"North Atlantic Ocean";8364;"EEZ";"28.36715";"-17.61396";"-21.92039";"-11.81269";"24.58474";"32.28908"
"Norwegian Sea";"http://marineregions.org/mrgid/2353";"Norwegian Sea";2353;"IHO Sea Area";"68.2156500845";"4.56651077422";"-13.50065481697";"25.78865038513";"60.86081802843";"76.56454739268"
"Balear Sea";"http://marineregions.org/mrgid/3322";"Balearic Sea";3322;"IHO Sea Area";"40.0832079791";"1.94994122114";"-0.36589491382";"4.29021512693";"38.64731110912";"41.87484551501"
"Moroccan part of the North Atlantic Ocean";"http://marineregions.org/mrgid/25322";"North Atlantic Ocean";25322;"Marine Region";"32.585584";"-10.270701";"-13.851431";"-5.918746";"27.666579";"35.958889"
"Inner Seas off the West Coast of Scotland";"http://marineregions.org/mrgid/4283";"Inner Seas off the West Coast of Scotland";4283;"IHO Sea Area";"56.40539933626";"-6.43991071135";"-8.24960118869";"-4.45862984669";"54.33640234359";"58.62454384285"
"Ionian sea";"http://marineregions.org/mrgid/3351";"Ionian Sea";3351;"IHO Sea Area";"38.01785115746";"18.62902944017";"15.0845692161";"23.22467541714";"36.40896639521";"40.52065920816"
"West Mediterranean";"http://marineregions.org/mrgid/14310";"Mediterranean Sea";14310;"General Sea Area";"40";"4.2";;;;
"Marmara Sea";"http://marineregions.org/mrgid/3369";"Sea of Marmara";3369;"IHO Sea Area";"40.67040224405";"28.15292137482";"26.17422051992";"29.94218587848";"39.99890852001";"41.23293495342"
"Aegean Sea";"http://marineregions.org/mrgid/3315";"Aegean Sea";3315;"IHO Sea Area";"37.85235867512";"25.17461340306";"22.53159654165";"28.33056116127";"35.10948944128";"41.09132552156"
"Strait of Sicily";"http://marineregions.org/mrgid/3382";"Ionian Sea";3382;"Strait";"37";"12.1";;;;
"Levantine Sea";"http://marineregions.org/mrgid/4954";"Levantine Sea";4954;"Sea";"34";"34";;;;
"FAO fishing area 34";"http://marineregions.org/mrgid/8752";;8752;"FAO Major Marine Fishing Areas";"14.3219";"-20.4556";;;;
"FAO fishing area 47";"http://marineregions.org/mrgid/8751";;8751;"FAO Major Marine Fishing Areas";"-30.2194";"0.79549";;;;
"Israeli part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25194";"Mediterranean Sea - Eastern Basin";25194;"Marine Region";"32.540996";"34.093194";"32.990981";"35.102427";"31.323967";"33.524921"
"Canaries";"http://marineregions.org/mrgid/3743";"North Atlantic Ocean";3743;"Archipelago";"28.52665";"-15.7905";"-18.1611";"-13.4199";"27.6374";"29.4159"
"Tyrrhenian Sea";"http://marineregions.org/mrgid/3386";"Tyrrhenian Sea";3386;"IHO Sea Area";"40.11983476086";"12.14189540681";"8.64848077337";"16.22312212029";"37.80146145778";"44.10945737326"
"Spanish Exclusive Economic Zone [Atlantic part]";"http://marineregions.org/mrgid/8765";"North Atlantic Ocean";8765;"Marine Region";"43.61398";"-9.09955";;;;
"Faial Island";"http://marineregions.org/mrgid/2458";"North Atlantic Ocean";2458;"Island";"38.5796";"-28.71595";"-28.8337";"-28.5982";"38.5146";"38.6446"
"Gulf of Gabès";"http://marineregions.org/mrgid/3879";"Mediterranean Sea - Eastern Basin";3879;"Gulf";"34.065";"10.3688888888889";;;;
"South Coast of Africa";"http://marineregions.org/mrgid/14318";"South Africa";14318;"Coast";;;;;;
"False Bay (South Africa)";"http://marineregions.org/mrgid/32950";"South Africa";32950;"Bay";"-34.17286";"18.66443";;;;
"Port Elizabeth";"http://marineregions.org/mrgid/14278";"South Africa";14278;"Town";"-33.95";"25.6166666666667";;;;
"Vema";"http://marineregions.org/mrgid/15326";;15326;"Stream";"4.2";"11.45";;;;
"Kilmore";"http://marineregions.org/mrgid/17666";"Belgium";17666;"Wreck";"51.3973";"2.4979";;;;
"Icelandic Exclusive Economic Zone";"http://marineregions.org/mrgid/5680";"Iceland";5680;"EEZ";"64.69826";"-18.44845";"-30.86792";"-5.57341";"59.96894";"69.58333"
"Moroccan Exclusive Economic Zone";"http://marineregions.org/mrgid/8367";"Morocco";8367;"EEZ";"32.78135";"-9.85201";"-13.66475";"-2.05752";"27.66667";"36.0051"
"Mallorca";"http://marineregions.org/mrgid/3439";"Balearic Sea";3439;"Island";"39.6141";"2.91315";"2.3454";"3.4809";"39.265";"39.9632"
"Balear Islands";"http://marineregions.org/mrgid/3430";"Balearic Sea";3430;"Archipelago";"39.3654";"2.771501";"1.214401";"4.3286";"38.6411";"40.0897"
"Gulf of Lions";"http://marineregions.org/mrgid/3452";"Mediterranean Sea - Western Basin";3452;"Gulf";"43";"4";;;;
"Ligurian Sea";"http://marineregions.org/mrgid/3363";"Ligurian Sea";3363;"IHO Sea Area";"43.7222954377";"8.91394655986";"7.53899633911";"9.85205805284";"42.86442416387";"44.42720294006"
"Sicily";"http://marineregions.org/mrgid/3383";"Mediterranean Sea - Eastern Basin";3383;"Island";"37.47515";"14.04235";"12.4248";"15.6599";"36.6479";"38.3024"
"Slovenian Exclusive Economic Zone";"http://marineregions.org/mrgid/5692";"Slovenia";5692;"EEZ";"45.56287";"13.57896";"13.38701";"13.74668";"45.46548";"45.63"
"Croatian Exclusive Economic Zone";"http://marineregions.org/mrgid/5673";"Adriatic Sea";5673;"EEZ";"43.43006";"15.65218";"13.00833";"18.54925";"41.6297";"45.56495"
"Albanian Exclusive Economic Zone";"http://marineregions.org/mrgid/5670";"Albania";5670;"EEZ";"40.92708";"19.113";"18.32149";"20.02083";"39.64039";"42.0112"
"Algarve";"http://marineregions.org/mrgid/5587";"Portugal";5587;"Coast";"37.2457";"-8.19755";"-8.9964";"-7.3987";"36.9613";"37.5301"
"Alicante";"http://marineregions.org/mrgid/15051";"Philippines";15051;"Town";"10.89704";"123.0185";"123.025";"123.015";"10.89";"10.9"
"Catalan Sea";"http://marineregions.org/mrgid/3332";"Catalan Sea";3332;"Sea";"41";"2";;;;
"Sardinia";"http://marineregions.org/mrgid/3330";"Mediterranean Sea - Western Basin";3330;"Island";"40.06185";"8.9812";"8.1336";"9.8288";"38.8651";"41.2586"
"Strait of Sicilia";"http://marineregions.org/mrgid/3382";"Ionian Sea";3382;"Strait";"37";"12.1";;;;
"Northern Tyrrhenian Sea";"http://marineregions.org/mrgid/14916";"Tyrrhenian Sea";14916;"General Sea Area";"41.4456";"11.2289";;;;
"Central Tyrrheniann Sea";"http://marineregions.org/mrgid/15100";"Tyrrhenian Sea";15100;"General Sea Area";"40.35";"11.7";;;;
"Central Adriatic Sea";"http://marineregions.org/mrgid/14920";"Adriatic Sea";14920;"General Sea Area";"43.2258";"14.9155";;;;
"South East Adriatic Sea";"http://marineregions.org/mrgid/15293";"Adriatic Sea";15293;"General Sea Area";"40.9";"18.6";;;;
"North West Ionian Sea";"http://marineregions.org/mrgid/15232";"Ionian Sea";15232;"General Sea Area";"40.9";"10.3";;;;
"Gulf of Evvoia";"http://marineregions.org/mrgid/17529";"Aegean Sea";17529;"Gulf";"38.66667";"23.25";;;;
"Kullaberg";"http://marineregions.org/mrgid/21436";;21436;"Hill(s)";"56.3";"12.5";;;;
"FAO fishing area 27";"http://marineregions.org/mrgid/8753";;8753;"FAO Major Marine Fishing Areas";"68.718";"2.83652";;;;
"FAO fishing area 37";"http://marineregions.org/mrgid/8754";;8754;"FAO Major Marine Fishing Areas";"38.1352";"19.7167";;;;
"Nieuwpoort";"http://marineregions.org/mrgid/90";"Belgium";90;"Town";"51.12418";"2.764438";"2.703967";"2.824909";"51.08672";"51.16163"
"Knokke";"http://marineregions.org/mrgid/14628";"Belgium";14628;"Town";"51.351";"3.2836";;;;
"Strait of Gibraltar";"http://marineregions.org/mrgid/3346";"Strait of Gibraltar";3346;"IHO Sea Area";"35.97981274369";"-5.68521917467";"-6.03254911565";"-5.2787053648";"35.77597653839";"36.18694186248"
"Sierra Leone";"http://marineregions.org/mrgid/2191";"Sierra Leone";2191;"Nation";"8.460554";"-11.77996";"-13.29561";"-10.26431";"6.923609";"9.9975"
"Sao Tome and Principe Exclusive Economic Zone";"http://marineregions.org/mrgid/8397";"Sao Tome and Principe";8397;"EEZ";"0.7791";"6.35335";"3.20264";"8.55014";"-1.48152";"2.71048"
"North West Mediterranean";"http://marineregions.org/mrgid/14828";"Mediterranean Sea - Western Basin";14828;"General Sea Area";"41";"4";;;;
"Nordhinter";"http://marineregions.org/mrgid/2433";"Belgium";2433;"Sandbank";"51.57175";"2.527115";"2.439292";"2.614939";"51.44745";"51.69606"
"Thorntonbank";"http://marineregions.org/mrgid/2438";"Belgium";2438;"Shoal";"51.566667";"3";"2.759904";"3.04139";"51.48207";"51.59016"
"Thorntonbank";"http://marineregions.org/mrgid/2438";"North Sea";2438;"Shoal";"51.566667";"3";"2.759904";"3.04139";"51.48207";"51.59016"
"Wandelaar";"http://marineregions.org/mrgid/4701";"North Sea";4701;"Sandbank";"51.3830555555556";"3.03972222222222";;;;
"Wandelaar";"http://marineregions.org/mrgid/4701";"Belgium";4701;"Sandbank";"51.3830555555556";"3.03972222222222";;;;
"Kentish Knock";"http://marineregions.org/mrgid/17661";"North Sea";17661;"Shoal";"51.65";"1.61667";;;;
